Стратегия,Accuracy,F1-macro,Bal.Acc.,Acc±
Random Forest,0.4168330397338031,0.39615279684996524,0.39732001537557093,0.039839983781423755
k-NN (k=3),0.3069093756116657,0.2565273693816347,0.26143897255008364,0.025147359172934678
Decision Tree,0.18162066940692898,0.21949332522303575,0.2417898973454529,0.010171377083929402
k-NN (k=5),0.25578391074574286,0.1968727043094054,0.20613948808393248,0.008138163776427686
Random,0.09448032883147388,0.07887877099748185,0.08209028625695292,0.04221230245335011
Baseline (всегда топ-1),0.21227246036406344,0.02918279672762383,0.08333333333333333,0.00330748265162886
