k,inertia,silhouette,calinski_harabasz,davies_bouldin
10,43188.82111997413,0.19911547067089794,151.72042687652376,1.4137170173317668
20,31450.282054229683,0.1958933460784519,108.20973392807434,1.3041424188021584
30,26159.1995115255,0.1860737255622516,87.65582673276622,1.372134121514185
40,22201.4546039458,0.18487884089399412,77.94888423435133,1.321549070075859
50,19333.53269761452,0.17981963260330636,71.58884792351611,1.301483660991704
60,17447.65029397097,0.18273154824191815,65.63655434647626,1.2356803407118664
70,15359.191634371618,0.18636603410795782,63.58148401815587,1.1772376318773399
80,13963.224946880207,0.1898755965083326,60.559311208159585,1.133788722656898
90,12681.390724051076,0.19030080582462242,58.599149891876834,0.9999722375693945
100,11623.019194186863,0.18426926835163854,56.78136188063909,1.0193374994514837
110,10645.824765450518,0.18413376052949268,55.564231440826525,1.0052690098352344
120,9647.343766277794,0.19255562450133062,55.40452080749559,0.9785337474272935
130,8984.065623463091,0.18443848903790785,53.981523776472606,0.9085110266344509
140,8133.320382376093,0.18804050530906097,54.47719782311211,0.8543601809273239
150,7435.691089404785,0.187396282674567,54.63423665975822,0.8703152569468966
160,6904.360765456592,0.19022711965779993,54.096417460775065,0.8651217126873518
170,6274.902376004536,0.19461279317673408,54.951521899265956,0.8090720933816897
180,5848.517434952218,0.1988759352689667,54.50923212477068,0.7528361774902035
190,5413.582095937085,0.18584833250196675,54.58624561924308,0.7516724268266007
200,4972.310318738919,0.18156998050312834,55.210874038162395,0.7098328837088286
