cluster,representative,cluster_size,dist_to_centroid,cluster_mean_IR,cluster_mean_CV,cluster_mean_nr_class,cluster_mean_nr_attr,cluster_mean_nr_inst
0,rand_0017_moons_swiss_roll_circles_c5_f200,15,3.0887383799995995,2.2976672705916856,0.34745943109230976,2.066666666666667,28.533333333333335,1998.9333333333334
1,rand_0205_moons_circles_c4_f20,29,1.8452985151133223,14.847078091575868,0.7317942825111257,2.0344827586206895,4.344827586206897,1941.1379310344828
2,rand_0234_moons_c3_f20,4,5.032957431260047,16.03707582739841,1.017404160799595,4.0,2.25,681.75
3,rand_0298_swiss_roll_c4_f200,8,2.4322098725447265,4.6875,0.4523346848646695,4.5,3.0,1904.25
4,extreme_noise_pareto_sc15_out25_classifica_c3_rs314,4,2.8698926296681875,5.596497080715858,0.6443777579929377,2.75,14.5,2418.25
5,extreme_ir42_c4_all5_rs237,44,2.086636052225657,31.957894808201942,1.1123424855328534,4.318181818181818,10.022727272727273,2155.909090909091
6,extreme_sparse_f500_info5_c3,19,2.3554367879861817,23.443048558785588,0.8874386608392412,3.210526315789474,293.2105263157895,1948.2631578947369
7,rand_0286_swiss_roll_s_curve_c3_f5,6,4.477129247739945,23.912484546740178,0.7403953891920744,3.0,4.0,1709.0
8,moons_noise_gamma,4,3.234180185729079,18.17858139092062,0.6197208922723147,3.0,2.0,1866.25
9,rand_0064_circles_moons_c4_f3,8,4.523730458799495,16.07576961428085,0.8430447560707136,3.5,2.625,628.0
10,rand_0398_circles_swiss_roll_c7_f50,13,3.292217254942385,135.13612398631741,1.8483255222220765,8.23076923076923,5.384615384615385,2207.3076923076924
11,rand_0265_gaussian_quantiles_c5_f100,5,4.168484143071854,4.035087886503297,0.47604201512379,4.2,35.8,1587.8
12,rand_0021_swiss_roll_c3_f5,8,3.38888065628914,12.838944255550762,0.7192027073619907,3.0,3.0,1661.25
