dataset_name,group,gen_base_type,gen_imbalance_ratio,gen_n_classes,gen_n_features,gen_n_samples_test,gen_n_samples_train,gen_noise,gen_noise_scale,gen_noise_type,gen_outlier_frac,gen_overlap,gen_spatial_distortion,gen_subsampled_to,CV,HDB,HDB_mean_f1,HDB_std_f1,IR,attr_ent.mean,attr_ent.sd,c2,can_cor.mean,can_cor.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,f1.mean,f1.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,joint_ent.mean,joint_ent.sd,lh_trace,lsc,mut_inf.mean,mut_inf.sd,n1,n2.mean,n2.sd,n3.mean,n3.sd,nr_attr,nr_class,nr_inst,pIR_cv,p_trace,roy_root,sd_ratio,t1,w_lambda,overlap_ratio,inter_intra_ratio,boundary_density,minority_size,minority_frac,minority_nn_ratio,minority_isolation,macro_IR,IR_variance,n_minority_classes,class_imbalance_skew,lm_decision_stump,lm_1nn,lm_naive_bayes,lm_lin_discr,lm_stump_vs_1nn,ssi_f1.max,ssi_f1.median,ssi_f1.min,ssi_f2.max,ssi_f2.median,ssi_f2.min,ssi_f3.max,ssi_f3.median,ssi_f3.min,ssi_f4.max,ssi_f4.median,ssi_f4.min,ssi_f1.q1,ssi_f1.q3,ssi_f2.q1,ssi_f2.q3,ssi_f3.q1,ssi_f3.q3,ssi_f4.q1,ssi_f4.q3,ssi_attr_ent.max,ssi_attr_ent.median,ssi_attr_ent.min,ssi_joint_ent.max,ssi_joint_ent.median,ssi_joint_ent.min,ssi_mut_inf.max,ssi_mut_inf.median,ssi_mut_inf.min,ssi_attr_ent.q1,ssi_attr_ent.q3,ssi_joint_ent.q1,ssi_joint_ent.q3,ssi_mut_inf.q1,ssi_mut_inf.q3,ssi_can_cor.max,ssi_can_cor.median,ssi_can_cor.min,ssi_cor.max,ssi_cor.median,ssi_cor.min,ssi_cov.max,ssi_cov.median,ssi_cov.min,ssi_eigenvalues.max,ssi_eigenvalues.median,ssi_eigenvalues.min,ssi_can_cor.q1,ssi_can_cor.q3,ssi_cor.q1,ssi_cor.q3,ssi_cov.q1,ssi_cov.q3,ssi_eigenvalues.q1,ssi_eigenvalues.q3
kaggle_fedesoriano_stellar-classification-dataset-sd,real_kaggle_multiclass,real_kaggle,3.1351,3,17,20000,80000,0.0,0.0,,0.0,0.0,False,1998,0.5548496370076311,0.2615292743638281,2.635700664211066,0.6893128821513799,3.1350781198496933,3.313456665973775,0.8892454567669041,0.2408175551954419,0.68032074839588,0.2096145575236036,1.3782242084102587,,,0.1291066877542095,0.2241742709479984,0.7545479440534706,1.1476422084012856,9.9413685278022,,,,,0.3899090966349598,0.4089620759103692,0.2631323497201849,0.3908057203179294,4.553045614605072,0.8754322217017515,2.584540418753172,0.9963461960458956,0.1386352597789623,0.2339583453092768,0.3768768768768769,0.4160713878334882,0.1139347559027209,0.2222222222222222,0.4158437876778876,17.0,3.0,1998.0,0.3693602804729398,0.9696109041216764,2.1895847525796786,,0.6391391391391391,0.2247529745104858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaggle_fedesoriano_stellar-classification-dataset-sdss17,real_kaggle_multiclass,real_kaggle,3.1351,3,17,20000,80000,0.0,0.0,,0.0,0.0,False,1998,0.5548496370076311,0.2615292743638281,2.635700664211066,0.6893128821513799,3.1350781198496933,3.313456665973775,0.8892454567669041,0.2408175551954419,0.68032074839588,0.2096145575236036,1.3782242084102587,,,0.1291066877542095,0.2241742709479984,0.7545479440534706,1.1476422084012856,9.9413685278022,,,,,0.3899090966349598,0.4089620759103692,0.2631323497201849,0.3908057203179294,4.553045614605072,0.8754322217017515,2.584540418753172,0.9963461960458956,0.1386352597789623,0.2339583453092768,0.3768768768768769,0.4160713878334882,0.1139347559027209,0.2222222222222222,0.4158437876778876,17.0,3.0,1998.0,0.3693602804729398,0.9696109041216764,2.1895847525796786,,0.6391391391391391,0.2247529745104858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaggle_uciml_glass,real_kaggle_multiclass,real_kaggle,8.4444,6,9,43,171,0.0,0.0,,0.0,0.0,False,171,0.7657246611507086,0.7010892446851781,3.874047790435896,2.7160532392709853,8.714285714285714,2.020236787207317,0.6116525388703461,0.1372331877058992,0.486389064294164,0.2857533252059148,2.1710541960089595,0.2290046708149818,0.1837347297958715,0.2303517571138935,0.1848155223240825,1.0058823529411764,0.8811521942056627,6.068056616138217,0.7419480748914038,0.2316904764316221,0.001884163656849,0.0058103060688155,0.2397031787482429,0.2752893252131368,0.0534228734228734,0.149205713058694,3.833506879779442,0.5544149637204395,5.559608043452918,0.9684005334974864,0.3577841034368338,0.1487793387899497,0.5263157894736842,0.3972742805979277,0.1545564107771633,0.2923976608187134,0.4561998849773195,9.0,6.0,171.0,0.6404213726292659,1.509491460789712,4.600887969985146,,0.5964912280701754,0.0797571683933483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaggle_uciml_iris,real_kaggle_multiclass,real_kaggle,1.0,3,5,30,120,0.0,0.0,,0.0,0.0,False,120,0.0,0.6029329369327482,29.720879306413,17.91969704843933,1.0,1.985218317370395,0.0152549431257306,0.0,0.7823764372179505,0.2921811860979026,1.584962500721156,0.6379496268779106,0.3105636633284482,0.6433105481121794,0.3131734420118808,1.008403361344539,1.5844846253842364,1.7550309546110872,0.2470995249348619,0.2480499490154999,0.0,0.0,0.0,0.0,0.0,0.0,2.6670842108454518,0.3486396994729404,45.1182651630314,0.7499305555555555,0.9030966072460996,0.3607506291483863,0.0333333333333333,0.1980163192208687,0.1048767569000778,0.0,0.0,5.0,3.0,120.0,0.0,1.3095956245372844,44.62234593834188,1.2391678974699352,0.0666666666666666,0.0146525847900784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml_1044_eye_movements,real_openml_multiclass,real_openml,1.485,3,27,2188,8748,0.0,0.0,,0.0,0.0,False,1998,0.1588372823746425,0.6604484546134991,0.1006864209530385,0.0664981911189985,1.4847560975609757,2.6775231530448576,1.1034976442009858,0.0182784437109604,0.3481891732030848,0.246564621490076,1.5661495420340503,0.0987481535439272,0.1442991653190417,0.1001592533862173,0.1492257673410134,1.0014243722569616,0.9370335931658252,67.47084840033365,0.9836299793869258,0.0195549718186108,0.0035964599363101,0.0023278914441806,0.980133963881842,0.0061602863371819,0.915305679785664,0.0216640259612681,4.220460454842333,1.1048760462251022,0.4067628794679755,0.998987726465204,0.0232122402365746,0.0210543933192311,0.6711711711711712,0.486443313133124,0.0876234849881109,0.4709709709709709,0.4992815651314179,27.0,3.0,1998.0,0.1138722783313948,0.3032655132422401,0.375600192512441,,0.915915915915916,0.704986146010707,0.9419419419419419,0.29202443924916593,0.9419419419419419,2296.0,0.26245999085505256,0.5809233449477351,4.81773995353641,1.3101268576649898,0.15883728237458802,1.0,-0.3906811227200375,0.4152237808951236,0.4512905811623247,0.4185557782231129,0.468626586506346,-0.036066800267201105,0.9998288246465863,0.9912034528489433,0.9359036225810956,0.005700231033804599,0.003993604736762068,0.0010955440383639038,0.9871099050203528,0.977850697292863,0.97544128933231,0.9389416553595658,0.9105824446267432,0.896392939370683,0.9744043479014867,0.9986116390778164,0.0025445743875629856,0.004846917885283334,0.9766459933125865,0.9824803011566079,0.9034876919987131,0.9247620499931545,3.584955995579937,3.238643012165875,0.7263106946530103,5.143607957237315,4.792312593968035,2.291680243759133,0.09666084660889007,0.018053378321051028,0.0007799929279279638,1.8397953959095128,3.584912625507551,3.338355759722295,5.115378145775903,0.007835383703398424,0.03637611817733655,0.5225366890594114,0.3481891732030846,0.17384165734675783,0.9992890740535525,0.05156881631905982,3.789195254226129e-05,0.9898150144164773,0.05185030342850009,3.8170123500474796e-05,4.1645794056781416,0.7526961230220701,0.0006866585234766225,0.2610154152749212,0.435362931131248,0.023126846480853072,0.10995909291530502,0.022482932381759805,0.11063715447995123,0.34220683119559403,1.3775187152689714
openml_1100_PopularKids,real_openml_multiclass,real_openml,2.7444,3,10,96,382,0.0,0.0,,0.0,0.0,False,382,0.4085950552025668,0.3635935766933161,0.2297771267537148,0.0835454873586966,2.736111111111111,1.605717534239026,0.7241642403828171,0.1264835913158428,0.3230809377450421,0.0267784809666587,1.4662795314659351,0.1447170615488592,0.1697930516976704,0.1450968963560739,0.1702387027519946,1.00262467191601,0.7027823149917833,46.80725987324039,0.9711216469515492,0.0282975939433662,0.638888888888889,0.1272937693043289,0.9930067013890014,0.0035775593641243,0.9930067013890014,0.0035775593641243,3.0406711659313617,0.711314340470799,0.2344048201387439,0.9956689783723034,0.0313258997735991,0.026036099106412,0.675392670157068,,,0.5392670157068062,0.4991094293626746,10.0,3.0,382.0,0.2548757100175035,0.2094796717113132,0.1324708573452262,,0.4790575916230366,0.8013410605592525,0.8586387434554974,0.29395085262097964,0.8586387434554974,72.0,0.18848167539267016,0.4027777777777778,0.7568083497401515,2.0163061291379876,0.40859505519935796,2.0,0.3923317192832172,0.536622375328084,0.4685449475065617,0.4974778543307086,0.5366428805774278,0.06807742782152226,0.998354874424504,0.9820564124747112,0.9247007995808968,0.75,0.6666666666666667,0.5,0.9962825278810409,0.9935483870967742,0.9891891891891892,0.9962825278810409,0.9935483870967742,0.9891891891891892,0.9451923009365519,0.9940585268588343,0.5833333333333334,0.7083333333333334,0.9913687881429817,0.9949154574889075,0.9913687881429817,0.9949154574889075,2.778147783703423,1.7260854238242196,0.0,4.208709250185879,3.1524829439823296,1.46627953938639,0.07343155173015203,0.030404368973735663,-7.920454958565415e-09,1.5064021726527725,1.9048804780523592,2.9621231362130063,3.331080953243811,0.010565273290280564,0.050963111859115506,0.34201618322644134,0.3230809377450421,0.3041456922636428,0.8502614438722961,0.08314712302813707,0.0013194932075490816,0.8524931012052918,0.0833653569468462,0.0013229564443143005,2.171208620113427,0.9897880854644052,-2.2204460711898306e-16,0.3136133150043424,0.3325485604857417,0.026263911926126465,0.1886009424026233,0.02633284607816358,0.18909595799948029,0.6011377800891715,1.27146265803486
"openml_119_BNG(cmc,nominal,55296)",real_openml_multiclass,real_openml,1.8841,3,9,11060,44236,0.0,0.0,,0.0,0.0,False,1999,0.2471314008139817,0.6406673123860864,0.1754537786073485,0.1124075007883534,1.8841099163679809,1.1914525237013214,0.5588285328728431,0.043580036896184,0.2891712482531235,0.081443936539625,1.539461108302692,0.1089952644891661,0.1417025925344236,0.1103808001099598,0.1438571643318283,1.0087234811473782,0.5397091664475755,59.54458439393534,0.970561367809937,0.0217990478271278,1.0,0.0,1.0,0.0,1.0,0.0,2.705059708864372,0.5426991794123495,0.1933468443222784,0.9996786787590894,0.0258539231396413,0.0184936099030353,0.6503251625812907,,,0.5977988994497249,0.4904647931218728,9.0,3.0,1999.0,0.1704972374889186,0.1738731364316096,0.136677589311569,1.02692536007532,0.2311155577788894,0.832575508199044,0.887943971985993,0.290616727835456,0.887943971985993,10044.0,0.22705488742200922,0.35696933492632416,0.3421214535518263,1.5478921650510176,0.24713140081396498,1.0,-0.21219541724341084,0.4405918503674015,0.4345824983299933,0.47997327989311955,0.4946613226452905,0.006009352037408211,0.9969084829576288,0.9745028702322361,0.92628903227938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.958698789454447,0.9845961074382804,1.0,1.0,1.0,1.0,1.0,1.0,1.8614465258838477,1.3354348575846473,0.4040800105486802,3.3425517097717146,2.8425439791686227,1.932082850133754,0.05835592441482529,0.02981328318647325,0.002264222288390183,0.6922434247826655,1.6805172245574596,2.2256259416388384,3.190165049673678,0.011458268717618125,0.03519869830923472,0.346760808066819,0.2891712482531234,0.23158168843942778,0.6169116353431614,0.04390343575534572,0.0003827230826848495,0.6303884998996455,0.04489666730385013,0.0003844065992329702,2.223899018821124,0.9645609025372165,0.35219820713035527,0.2603764683462756,0.3179660281599712,0.012346927821506266,0.1618887222042621,0.012346145532719024,0.16634062521463694,0.68204236344585,1.0111824965373908
openml_11_balance-scale,real_openml_multiclass,real_openml,5.8776,3,4,125,500,0.0,0.0,,0.0,0.0,False,500,0.5416493330559911,0.5781987954869026,0.2983683919643449,0.1725162448451482,5.923076923076923,2.320390317014861,0.0007600874409195,0.1644322702717361,0.435518252698799,0.5517097685387563,1.3170894310222006,0.0167115359047244,0.0171992201640036,0.0167450259566376,0.0172336875390818,1.0020040080160322,0.0459519698286834,9.135470591576926,0.8230013093294993,0.0187060502846893,1.0,0.0,1.0,0.0,1.0,0.0,3.4933066134602195,0.0143273102942509,2.143506561750603,0.963456,0.1441731345768417,0.0148775090326686,0.284,0.3685833345453166,0.147120212230044,0.2,0.4004006010017532,4.0,3.0,500.0,0.5409862701952389,0.6837359655687179,2.1414410958966155,1.3242087283528414,0.304,0.3176691082335754,0.366,0.6650679727127523,0.366,39.0,0.078,0.2153846153846154,0.5,4.274953548866592,0.5416493330527412,1.0,-0.7070417070161616,0.6259769617391723,0.769917995334632,0.8779429093619989,0.8759709496669311,-0.14394103359545973,0.8416487621149205,0.8248457212552008,0.8006650326926753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8113700872659555,0.8364769433187447,1.0,1.0,1.0,1.0,1.0,1.0,2.3214966449870493,2.3201423566006336,2.3197799098711274,3.505265324942962,3.496475634889689,3.475009859118538,0.16357621689071156,0.140616268750819,0.13188378391501754,2.319989735844616,2.3205429377708784,3.4853495994722516,3.504432648877657,0.13284047812760402,0.15194892520005676,0.8256359712794141,0.435518252698799,0.04540053411818385,0.044381769874655724,0.007837908651812657,0.004074427406245367,0.044470711297250186,0.00785361588357982,0.00408259259142823,1.0539057524392508,1.0052848002151815,0.9435406791945149,0.2404593934084914,0.6305771119891066,0.00473885032248002,0.026283004636291348,0.0047483470165130435,0.026335675988267915,0.9823212297597887,1.024967578471425
openml_1222_letter-challenge-unlabele,real_openml_multiclass,real_openml,3.6232,3,16,4000,16000,0.0,0.0,,0.0,0.0,False,2000,0.4475086591340999,0.7186979024395304,0.1842643273312271,0.1324303855473839,3.6231884057971016,2.783424908210661,0.2219067277700661,0.1316886375788909,0.2496360784904612,0.2366732432390936,1.424971556171536,0.1877530569826538,0.2111426600246826,0.185139066436644,0.2105568586320562,0.981787014432545,1.1193890808401132,56.81102071091479,0.984040835979592,0.0170824342648067,0.0836588242820064,0.1269950146739505,0.9256268137814662,0.062569074278806,0.8275584931643016,0.1439367622052251,4.1833138036882,0.2193381404513137,0.2172946643302697,0.999015,0.0250826606939974,0.019304706181845,0.697,,,0.5095,0.500034766175005,16.0,3.0,2000.0,0.3606866299647377,0.1806505674335026,0.2104780496876148,1.1182924690483242,0.809,0.8205266813809021,0.944,0.2959352514729319,0.944,2208.0,0.138,0.5763586956521739,1.610272363898547,2.5425307604024874,0.447508659134016,1.0,-0.28116531349146606,0.5,0.4713333333333333,0.4613333333333333,0.4653333333333333,0.028666666666666674,0.9995345085309868,0.9892351270975013,0.9376380761836132,0.23028736155363383,0.012014224842213176,0.008674886450172387,0.9976798143851509,0.8942006269592476,0.885,0.9912993039443155,0.7703761755485894,0.721,0.9738580322547981,0.998018781687319,0.010344555646192782,0.1211507931979235,0.8896003134796238,0.9459402206721992,0.7456880877742946,0.8808377397464524,3.2728615829220677,2.7731776476273398,2.408014027150128,4.694387939921684,4.172572771988804,3.8129258408204767,0.06512138409379276,0.021157336491730128,0.0034451991719191,2.6793302933958856,2.8724671942795803,4.082722173082196,4.276888443911621,0.008742390447576298,0.03688144674339078,0.4169893337102372,0.24963607849046113,0.08228282327068503,0.8596717647878723,0.09828007358143755,0.0017534250254727982,0.8969128530893484,0.09483233418647274,0.001723100184100335,4.324835174000285,0.594733216442103,0.076026348979915,0.16595945088057307,0.3333127061003492,0.043361422299912224,0.24421502949743906,0.04234395393523971,0.24038577878881057,0.2524646601384418,1.088375153211118
openml_12_mfeat-factors,real_openml_multiclass,real_openml,1.0,10,216,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.0,0.6428573663898313,12.380303897207812,7.958769558464778,1.0,3.407915465114128,0.1014764062656962,0.0,0.9297578522844826,0.0474367450427904,3.321928094887362,0.2501939639863951,0.1971975589524465,0.2503504330070245,0.1973208845052623,1.0006253908692933,4.684825065576973,5.279373105114785,0.5090364252349903,0.1404715114492759,9.398379841927972e-30,5.657045689127825e-29,0.2027777777777777,0.1842379862419662,0.0,0.0,6.100615803458012,0.1763724948531804,94.48802265871396,0.978746875,0.6292277565434801,0.1802223917631999,,,,,,216.0,10.0,1600.0,0.0,7.798048933203923,26.317956321672757,,,2.1494773892863446e-09,0.1125,1.4805259076773967,0.1125,160.0,0.1,0.9824999999999999,7.046263703832061e-08,1.0,0.0,0.0,,0.18600000000000003,0.9506666666666667,0.9166666666666666,0.9766666666666666,-0.7646666666666666,0.9122103793641396,0.4949726192453954,0.17036829171483933,3.7905831789805443e-28,3.780167866779217e-40,0.0,0.6375,0.159375,0.0,0.0,0.0,0.0,0.4187494313453689,0.5970119999901917,4.5940402688805827e-57,1.2339517336208843e-35,0.053125,0.33125,0.0,0.0,3.459373587794011,3.4548464742052376,2.757621981219495,6.524182358533868,6.107679238253783,5.50069921892264,1.2804906450021187,0.6257099337936833,0.16960517680550868,3.417988693673117,3.459049605228568,5.990351746126404,6.235972847753526,0.5026842599921906,0.7546326087196193,0.9815263830382135,0.9369437979330039,0.8321882297894797,1.0,0.2053115209031982,1.7528680196413665e-05,1.0006253908692975,0.20543992085373142,1.7539642472959226e-05,48.75870316292738,0.021666255768884493,-6.481080989785554e-16,0.9129973927629826,0.9624447392951194,0.09468763220890024,0.35940693227614445,0.09474684898951838,0.35963170208995054,0.004615200449469066,0.14085151179305513
