model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std
XGBoost,0.5382395382395382,0.03318903318903316,0.3727137445887446,0.0409767316017316,0.3832237540151626,0.02991923045135117
RandomForest,0.5431869717584004,0.007833436404864946,0.3610239297739297,0.022342472342472358,0.3823499688500188,0.0007906784671990186
LogisticRegression,0.4467635539064111,0.0124201195629767,0.361834114959115,0.031948953823953824,0.335945767050503,0.03273792445927548
KNN,0.37574726860441143,0.022211915069057925,0.1855263949013949,0.01840879028379029,0.152679000502361,0.012308901664520228
