model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std
LogisticRegression,0.23862019914651494,0.042829553829452936,0.2142857142857143,0.043537913209308915,0.18922485660931038,0.04167485797220797
RandomForest,0.3908250355618777,0.013648535606255697,0.21428571428571427,0.031214549052683074,0.18089303169948331,0.025763563515297624
KNN,0.21177098150782359,0.040871026354754786,0.07738095238095237,0.02560215853286496,0.0698393699172459,0.024288023065130535
