model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
RandomForest,0.02811872215496544,0.0028044233100716983,0.05015328570201068,0.007357222448899475,0.3845006275142397,0.1647402690535001
KNN,0.037458787802142915,0.001460861757251629,0.05721853696451577,0.005834721119326838,0.20894853483869258,0.13550594405981417
Ridge,0.045213904343296266,0.0035382458536913058,0.06735962371401576,0.010448733006048778,-0.12545433623266755,0.3603341238436001
