sampler,model,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f1_fisher_max_before,f1_fisher_max_after,f1_fisher_min_before,f1_fisher_min_after,f2_overlap_mean_before,f2_overlap_mean_after,f2_overlap_max_before,f2_overlap_max_after,f2_overlap_min_before,f2_overlap_min_after,status,error,balanced_accuracy,f1_macro,gmean_macro,auc_roc_ovr_macro,group,dataset_id,dataset_name,dataset_type,ir_level,overlap_level,cluster_level,flip_y,n_features,noise_correlation,noise_distribution
NoSampler,LogisticRegression,2040.0,2040.0,3.5,3.5,0.6887254901960784,0.6887254901960784,0.009644132915520097,0.009644132915520097,0.4782835229384094,0.4782835229384094,1.5792360330024225e-05,1.5792360330024225e-05,0.7978878587387763,0.7978878587387763,0.9728151388738066,0.9728151388738066,0.41199134823588895,0.41199134823588895,ok,,0.4343650793650794,0.44343441426362595,0.5849495023136542,0.7149054232804233,baseline,908,nonlinear__medium_ir__low_overlap__flip0.0__f100__corr0.3__distmixed,nonlinear,medium_ir,low_overlap,nonlinear,0.0,100,0.3,mixed
NoSampler,RandomForest,2040.0,2040.0,3.5,3.5,0.6887254901960784,0.6887254901960784,0.009644132915520097,0.009644132915520097,0.4782835229384094,0.4782835229384094,1.5792360330024225e-05,1.5792360330024225e-05,0.7978878587387763,0.7978878587387763,0.9728151388738066,0.9728151388738066,0.41199134823588895,0.41199134823588895,ok,,0.6838095238095238,0.7132828518290145,0.7926051127146708,0.9275472883597884,baseline,908,nonlinear__medium_ir__low_overlap__flip0.0__f100__corr0.3__distmixed,nonlinear,medium_ir,low_overlap,nonlinear,0.0,100,0.3,mixed
distance_SMOTE,LogisticRegression,2040.0,2280.0,3.5,3.5,0.6887254901960784,0.6289473684210526,0.009644132915520097,0.009808599068651594,0.4782835229384094,0.48857452041978755,1.5792360330024225e-05,8.67233094776198e-05,0.7978878587387763,0.7978878587387763,0.9728151388738066,0.9728151388738066,0.41199134823588895,0.41199134823588895,ok,,0.46206349206349207,0.4684976797263506,0.6076497650468164,0.7143915343915345,smote_variants,908,nonlinear__medium_ir__low_overlap__flip0.0__f100__corr0.3__distmixed,nonlinear,medium_ir,low_overlap,nonlinear,0.0,100,0.3,mixed
distance_SMOTE,RandomForest,2040.0,2280.0,3.5,3.5,0.6887254901960784,0.6289473684210526,0.009644132915520097,0.009808599068651594,0.4782835229384094,0.48857452041978755,1.5792360330024225e-05,8.67233094776198e-05,0.7978878587387763,0.7978878587387763,0.9728151388738066,0.9728151388738066,0.41199134823588895,0.41199134823588895,ok,,0.6882539682539683,0.7185120513929765,0.7958376221228124,0.921916335978836,smote_variants,908,nonlinear__medium_ir__low_overlap__flip0.0__f100__corr0.3__distmixed,nonlinear,medium_ir,low_overlap,nonlinear,0.0,100,0.3,mixed
cluster_SMOTE,LogisticRegression,2040.0,2280.0,3.5,3.5,0.6887254901960784,0.612280701754386,0.009644132915520097,0.009701505100153641,0.4782835229384094,0.4870028259328163,1.5792360330024225e-05,9.397359270109474e-05,0.7978878587387763,0.7978878587387763,0.9728151388738066,0.9728151388738066,0.41199134823588895,0.41199134823588895,ok,,0.44376984126984126,0.45285774433709014,0.5926983854658175,0.7176904761904762,smote_variants,908,nonlinear__medium_ir__low_overlap__flip0.0__f100__corr0.3__distmixed,nonlinear,medium_ir,low_overlap,nonlinear,0.0,100,0.3,mixed
cluster_SMOTE,RandomForest,2040.0,2280.0,3.5,3.5,0.6887254901960784,0.612280701754386,0.009644132915520097,0.009701505100153641,0.4782835229384094,0.4870028259328163,1.5792360330024225e-05,9.397359270109474e-05,0.7978878587387763,0.7978878587387763,0.9728151388738066,0.9728151388738066,0.41199134823588895,0.41199134823588895,ok,,0.6932539682539682,0.7224112246988064,0.7998073806754459,0.926401455026455,smote_variants,908,nonlinear__medium_ir__low_overlap__flip0.0__f100__corr0.3__distmixed,nonlinear,medium_ir,low_overlap,nonlinear,0.0,100,0.3,mixed
CBSO,LogisticRegression,2040.0,2280.0,3.5,3.5,0.6887254901960784,0.6039473684210527,0.009644132915520097,0.009673267364363579,0.4782835229384094,0.48434839157477094,1.5792360330024225e-05,5.831454435124579e-05,0.7978878587387763,0.7978878587387763,0.9728151388738066,0.9728151388738066,0.41199134823588895,0.41199134823588895,ok,,0.4500793650793651,0.4571307236288672,0.5990027891911738,0.7173247354497354,smote_variants,908,nonlinear__medium_ir__low_overlap__flip0.0__f100__corr0.3__distmixed,nonlinear,medium_ir,low_overlap,nonlinear,0.0,100,0.3,mixed
CBSO,RandomForest,2040.0,2280.0,3.5,3.5,0.6887254901960784,0.6039473684210527,0.009644132915520097,0.009673267364363579,0.4782835229384094,0.48434839157477094,1.5792360330024225e-05,5.831454435124579e-05,0.7978878587387763,0.7978878587387763,0.9728151388738066,0.9728151388738066,0.41199134823588895,0.41199134823588895,ok,,0.6960317460317461,0.7265372597758437,0.8016493571767709,0.9231560846560847,smote_variants,908,nonlinear__medium_ir__low_overlap__flip0.0__f100__corr0.3__distmixed,nonlinear,medium_ir,low_overlap,nonlinear,0.0,100,0.3,mixed
AHC,LogisticRegression,2040.0,2039.0,3.5,1.4273809523809524,0.6887254901960784,0.4026483570377636,0.009644132915520097,0.000931523549753352,0.4782835229384094,0.005782455937522734,1.5792360330024225e-05,9.449817119713047e-09,0.7978878587387763,0.8331576446420731,0.9728151388738066,0.9944584747302541,0.41199134823588895,0.3931484624814865,ok,,0.2580952380952381,0.1976808482956024,0.4412285937670767,,smote_variants,908,nonlinear__medium_ir__low_overlap__flip0.0__f100__corr0.3__distmixed,nonlinear,medium_ir,low_overlap,nonlinear,0.0,100,0.3,mixed
AHC,RandomForest,2040.0,2039.0,3.5,1.4273809523809524,0.6887254901960784,0.4026483570377636,0.009644132915520097,0.000931523549753352,0.4782835229384094,0.005782455937522734,1.5792360330024225e-05,9.449817119713047e-09,0.7978878587387763,0.8331576446420731,0.9728151388738066,0.9944584747302541,0.41199134823588895,0.3931484624814865,ok,,0.485,0.41122159090909094,0.650146885113066,,smote_variants,908,nonlinear__medium_ir__low_overlap__flip0.0__f100__corr0.3__distmixed,nonlinear,medium_ir,low_overlap,nonlinear,0.0,100,0.3,mixed
