sampler,model,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f1_fisher_max_before,f1_fisher_max_after,f1_fisher_min_before,f1_fisher_min_after,f2_overlap_mean_before,f2_overlap_mean_after,f2_overlap_max_before,f2_overlap_max_after,f2_overlap_min_before,f2_overlap_min_after,status,error,balanced_accuracy,f1_macro,gmean_macro,auc_roc_ovr_macro,group,dataset_id,dataset_name,dataset_type,ir_level,overlap_level,cluster_level,flip_y,n_features,noise_correlation,noise_distribution
NoSampler,LogisticRegression,2280.0,2280.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6978070175438597,0.014617359393966077,0.014617359393966077,0.35846229105180094,0.35846229105180094,5.3149262208359086e-05,5.3149262208359086e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.47440266155862487,0.4747433366443631,0.6168475106492212,0.72949645473338,baseline,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
NoSampler,RandomForest,2280.0,2280.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6978070175438597,0.014617359393966077,0.014617359393966077,0.35846229105180094,0.35846229105180094,5.3149262208359086e-05,5.3149262208359086e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.6010925160466445,0.6089717939496639,0.7236891205995796,0.8475761634764445,baseline,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
distance_SMOTE,LogisticRegression,2280.0,2357.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6618582944420874,0.014617359393966077,0.014713306585541621,0.35846229105180094,0.36361264743760013,5.3149262208359086e-05,8.387291513066246e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.49073965789562113,0.48919925830993577,0.6302045795912734,0.7296171320136355,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
distance_SMOTE,RandomForest,2280.0,2357.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6618582944420874,0.014617359393966077,0.014713306585541621,0.35846229105180094,0.36361264743760013,5.3149262208359086e-05,8.387291513066246e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.6119884396948617,0.621903400479838,0.7316662669762529,0.8492585469370577,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
cluster_SMOTE,LogisticRegression,2280.0,2357.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6601612218922359,0.014617359393966077,0.014562106646257882,0.35846229105180094,0.35873905205248013,5.3149262208359086e-05,3.4832090813380756e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.4808861780421413,0.47879358452100595,0.6221693147574563,0.727056108845336,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
cluster_SMOTE,RandomForest,2280.0,2357.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6601612218922359,0.014617359393966077,0.014562106646257882,0.35846229105180094,0.35873905205248013,5.3149262208359086e-05,3.4832090813380756e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.5985085862150082,0.6075339218596415,0.721685103107044,0.8430531102673695,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
CBSO,LogisticRegression,2280.0,2357.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6571913449299958,0.014617359393966077,0.014625288877614849,0.35846229105180094,0.3619649904607602,5.3149262208359086e-05,3.421008553406079e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.48901804617400946,0.48815439168534897,0.6288127528299609,0.7311932177471359,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
CBSO,RandomForest,2280.0,2357.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6571913449299958,0.014617359393966077,0.014625288877614849,0.35846229105180094,0.3619649904607602,5.3149262208359086e-05,3.421008553406079e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.5987283664347884,0.6081069899788805,0.7212279231839942,0.847885051281436,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
AHC,LogisticRegression,2280.0,2182.0,2.14010989010989,1.8010269576379974,0.6978070175438597,0.3102658111824015,0.014617359393966077,0.0006471760556555807,0.35846229105180094,0.005688594564986521,5.3149262208359086e-05,7.2325563148328e-08,0.6286134626135288,0.6346988966496758,0.7950816795134741,0.9210966442482441,0.4470888844399381,0.20131823484548655,ok,,0.2408058608058608,0.14055831776481895,0.42379062956231917,,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
AHC,RandomForest,2280.0,2182.0,2.14010989010989,1.8010269576379974,0.6978070175438597,0.3102658111824015,0.014617359393966077,0.0006471760556555807,0.35846229105180094,0.005688594564986521,5.3149262208359086e-05,7.2325563148328e-08,0.6286134626135288,0.6346988966496758,0.7950816795134741,0.9210966442482441,0.4470888844399381,0.20131823484548655,ok,,0.4084249084249084,0.32525246940881614,0.580229439959157,,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
DBSMOTE,LogisticRegression,2280.0,2357.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6567670767925329,0.014617359393966077,0.014569018976828713,0.35846229105180094,0.3598344497887709,5.3149262208359086e-05,0.00011315198554442919,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.48964075679672003,0.4869735485571747,0.6290192334643646,0.7294536293684835,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
DBSMOTE,RandomForest,2280.0,2357.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6567670767925329,0.014617359393966077,0.014569018976828713,0.35846229105180094,0.3598344497887709,5.3149262208359086e-05,0.00011315198554442919,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.6075420909365864,0.6183557724846847,0.7282637502949432,0.8510015772782991,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
MWMOTE,LogisticRegression,2280.0,2357.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6521001272804412,0.014617359393966077,0.0145897681827026,0.35846229105180094,0.36050913752484176,5.3149262208359086e-05,3.495645339064095e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.4837433208992842,0.4813817184077669,0.6245314532626083,0.7297781802252838,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
MWMOTE,RandomForest,2280.0,2357.0,2.14010989010989,2.14010989010989,0.6978070175438597,0.6521001272804412,0.014617359393966077,0.0145897681827026,0.35846229105180094,0.36050913752484176,5.3149262208359086e-05,3.495645339064095e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.5981564001747488,0.6060629616574111,0.7210436691014653,0.8481460839929964,smote_variants,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
SMOTE,LogisticRegression,2280.0,3116.0,2.14010989010989,1.0,0.6978070175438597,0.40982028241335045,0.014617359393966077,0.021610084570452992,0.35846229105180094,0.5556606833900514,5.3149262208359086e-05,1.125402261672108e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.48793292334576743,0.44422866952462886,0.6280728856633743,0.727285906171549,imbalanced_learn,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
SMOTE,RandomForest,2280.0,3116.0,2.14010989010989,1.0,0.6978070175438597,0.40982028241335045,0.014617359393966077,0.021610084570452992,0.35846229105180094,0.5556606833900514,5.3149262208359086e-05,1.125402261672108e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.6453604193971166,0.6400745523375294,0.7536568400946447,0.8459961213255734,imbalanced_learn,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
BorderlineSMOTE,LogisticRegression,2280.0,3116.0,2.14010989010989,1.0,0.6978070175438597,0.4046854942233633,0.014617359393966077,0.02215065498671381,0.35846229105180094,0.584685842030615,5.3149262208359086e-05,2.5788822794428643e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.48830762509661596,0.440910749099711,0.627480389999079,0.729948691129615,imbalanced_learn,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
BorderlineSMOTE,RandomForest,2280.0,3116.0,2.14010989010989,1.0,0.6978070175438597,0.4046854942233633,0.014617359393966077,0.02215065498671381,0.35846229105180094,0.584685842030615,5.3149262208359086e-05,2.5788822794428643e-05,0.6286134626135288,0.6286134626135288,0.7950816795134741,0.7950816795134741,0.4470888844399381,0.4470888844399381,ok,,0.6493897234264207,0.6437768882901114,0.7566260989700483,0.846781947137603,imbalanced_learn,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
SVMSMOTE,LogisticRegression,2280.0,2944.0,2.14010989010989,1.2833607907742999,0.6978070175438597,0.4561820652173913,0.014617359393966077,0.023119127383364815,0.35846229105180094,0.5142176295448253,5.3149262208359086e-05,6.134219872828776e-05,0.6286134626135288,0.6272795059785305,0.7950816795134741,0.771769781127222,0.4470888844399381,0.4470888844399381,ok,,0.4796884766609537,0.448199397291436,0.6214112938522182,0.7249949215202877,imbalanced_learn,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
SVMSMOTE,RandomForest,2280.0,2944.0,2.14010989010989,1.2833607907742999,0.6978070175438597,0.4561820652173913,0.014617359393966077,0.023119127383364815,0.35846229105180094,0.5142176295448253,5.3149262208359086e-05,6.134219872828776e-05,0.6286134626135288,0.6272795059785305,0.7950816795134741,0.771769781127222,0.4470888844399381,0.4470888844399381,ok,,0.616586685485768,0.617685109351776,0.7338081804731975,0.8499197437263898,imbalanced_learn,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
ADASYN,LogisticRegression,,,,,,,,,,,,,,,,,,,error,No samples will be generated with the provided ratio settings.,,,,,imbalanced_learn,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
ADASYN,RandomForest,,,,,,,,,,,,,,,,,,,error,No samples will be generated with the provided ratio settings.,,,,,imbalanced_learn,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
KMeansSMOTE,LogisticRegression,,,,,,,,,,,,,,,,,,,error,No clusters found with sufficient samples of class 3.0. Try lowering the cluster_balance_threshold or increasing the number of clusters.,,,,,imbalanced_learn,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
KMeansSMOTE,RandomForest,,,,,,,,,,,,,,,,,,,error,No clusters found with sufficient samples of class 3.0. Try lowering the cluster_balance_threshold or increasing the number of clusters.,,,,,imbalanced_learn,842,nonlinear__low_ir__high_overlap__flip0.05__f50__corr0.0__distt,nonlinear,low_ir,high_overlap,nonlinear,0.05,50,0.0,t
