sampler,model,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f1_fisher_max_before,f1_fisher_max_after,f1_fisher_min_before,f1_fisher_min_after,f2_overlap_mean_before,f2_overlap_mean_after,f2_overlap_max_before,f2_overlap_max_after,f2_overlap_min_before,f2_overlap_min_after,status,error,balanced_accuracy,f1_macro,gmean_macro,auc_roc_ovr_macro,group,dataset_id,dataset_name,dataset_type,ir_level,overlap_level,cluster_level,flip_y,n_features,noise_correlation,noise_distribution
NoSampler,LogisticRegression,2400.0,2400.0,11.0,11.0,0.2425,0.2425,0.05655031021175307,0.05655031021175307,0.18637712800896375,0.18637712800896375,0.0012931845323650034,0.0012931845323650034,0.8054259122773146,0.8054259122773146,0.8962412009875503,0.8962412009875503,0.6909218272793254,0.6909218272793254,ok,,0.36636363636363634,0.3602807558744075,0.5485852890763847,0.7189929355474247,baseline,369,linear__high_ir__medium_overlap__high_clusters__flip0.0__f10,linear,high_ir,medium_overlap,high_clusters,0.0,10,,N/A
NoSampler,RandomForest,2400.0,2400.0,11.0,11.0,0.2425,0.2425,0.05655031021175307,0.05655031021175307,0.18637712800896375,0.18637712800896375,0.0012931845323650034,0.0012931845323650034,0.8054259122773146,0.8054259122773146,0.8962412009875503,0.8962412009875503,0.6909218272793254,0.6909218272793254,ok,,0.6125757575757576,0.6379990196282209,0.7448756522591982,0.9146208239950242,baseline,369,linear__high_ir__medium_overlap__high_clusters__flip0.0__f10,linear,high_ir,medium_overlap,high_clusters,0.0,10,,N/A
distance_SMOTE,LogisticRegression,2400.0,3120.0,11.0,11.0,0.2425,0.1371794871794872,0.05655031021175307,0.0639082094799008,0.18637712800896375,0.24555211163884802,0.0012931845323650034,0.0011233129605813024,0.8054259122773146,0.8054259122773146,0.8962412009875503,0.8962412009875503,0.6909218272793254,0.6909218272793254,ok,,0.39626262626262626,0.36760113805253897,0.5777462391250046,0.7152905643987171,smote_variants,369,linear__high_ir__medium_overlap__high_clusters__flip0.0__f10,linear,high_ir,medium_overlap,high_clusters,0.0,10,,N/A
distance_SMOTE,RandomForest,2400.0,3120.0,11.0,11.0,0.2425,0.1371794871794872,0.05655031021175307,0.0639082094799008,0.18637712800896375,0.24555211163884802,0.0012931845323650034,0.0011233129605813024,0.8054259122773146,0.8054259122773146,0.8962412009875503,0.8962412009875503,0.6909218272793254,0.6909218272793254,ok,,0.6218686868686868,0.6438535610756826,0.752130632806689,0.910880420997036,smote_variants,369,linear__high_ir__medium_overlap__high_clusters__flip0.0__f10,linear,high_ir,medium_overlap,high_clusters,0.0,10,,N/A
cluster_SMOTE,LogisticRegression,2400.0,3120.0,11.0,11.0,0.2425,0.14038461538461539,0.05655031021175307,0.061992782419051005,0.18637712800896375,0.2353378667130591,0.0012931845323650034,0.0017594062775131483,0.8054259122773146,0.8054259122773146,0.8962412009875503,0.8962412009875503,0.6909218272793254,0.6909218272793254,ok,,0.3980808080808081,0.36793220040137636,0.5789578269906369,0.7155466595782385,smote_variants,369,linear__high_ir__medium_overlap__high_clusters__flip0.0__f10,linear,high_ir,medium_overlap,high_clusters,0.0,10,,N/A
cluster_SMOTE,RandomForest,2400.0,3120.0,11.0,11.0,0.2425,0.14038461538461539,0.05655031021175307,0.061992782419051005,0.18637712800896375,0.2353378667130591,0.0012931845323650034,0.0017594062775131483,0.8054259122773146,0.8054259122773146,0.8962412009875503,0.8962412009875503,0.6909218272793254,0.6909218272793254,ok,,0.6134848484848484,0.6377715718197157,0.7451143176686411,0.9175015478138802,smote_variants,369,linear__high_ir__medium_overlap__high_clusters__flip0.0__f10,linear,high_ir,medium_overlap,high_clusters,0.0,10,,N/A
CBSO,LogisticRegression,2400.0,3120.0,11.0,11.0,0.2425,0.18685897435897436,0.05655031021175307,0.05106698510147031,0.18637712800896375,0.16425805017662998,0.0012931845323650034,0.0014549438322544557,0.8054259122773146,0.8054259122773146,0.8962412009875503,0.8962412009875503,0.6909218272793254,0.6909218272793254,ok,,0.387020202020202,0.35449342676044404,0.5690596361084067,0.7165605765254888,smote_variants,369,linear__high_ir__medium_overlap__high_clusters__flip0.0__f10,linear,high_ir,medium_overlap,high_clusters,0.0,10,,N/A
CBSO,RandomForest,2400.0,3120.0,11.0,11.0,0.2425,0.18685897435897436,0.05655031021175307,0.05106698510147031,0.18637712800896375,0.16425805017662998,0.0012931845323650034,0.0014549438322544557,0.8054259122773146,0.8054259122773146,0.8962412009875503,0.8962412009875503,0.6909218272793254,0.6909218272793254,ok,,0.6032828282828283,0.6218167216813995,0.7381631921994756,0.912476958265142,smote_variants,369,linear__high_ir__medium_overlap__high_clusters__flip0.0__f10,linear,high_ir,medium_overlap,high_clusters,0.0,10,,N/A
AHC,LogisticRegression,2400.0,2519.0,11.0,1.1009174311926606,0.2425,0.06470821754664549,0.05655031021175307,0.05213438436050546,0.18637712800896375,0.25844385065028813,0.0012931845323650034,8.220598408359217e-07,0.8054259122773146,0.8346501709448688,0.8962412009875503,0.9256923018922955,0.6909218272793254,0.66707465601467,ok,,0.3795454545454545,0.33169833643647784,0.5630817231415232,,smote_variants,369,linear__high_ir__medium_overlap__high_clusters__flip0.0__f10,linear,high_ir,medium_overlap,high_clusters,0.0,10,,N/A
AHC,RandomForest,2400.0,2519.0,11.0,1.1009174311926606,0.2425,0.06470821754664549,0.05655031021175307,0.05213438436050546,0.18637712800896375,0.25844385065028813,0.0012931845323650034,8.220598408359217e-07,0.8054259122773146,0.8346501709448688,0.8962412009875503,0.9256923018922955,0.6909218272793254,0.66707465601467,ok,,0.43363636363636365,0.3833850466995322,0.61290910888775,,smote_variants,369,linear__high_ir__medium_overlap__high_clusters__flip0.0__f10,linear,high_ir,medium_overlap,high_clusters,0.0,10,,N/A
