sampler,model,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f1_fisher_max_before,f1_fisher_max_after,f1_fisher_min_before,f1_fisher_min_after,f2_overlap_mean_before,f2_overlap_mean_after,f2_overlap_max_before,f2_overlap_max_after,f2_overlap_min_before,f2_overlap_min_after,status,error,balanced_accuracy,f1_macro,gmean_macro,auc_roc_ovr_macro,group,dataset_id,dataset_name,dataset_type,ir_level,overlap_level,cluster_level,flip_y,n_features,noise_correlation,noise_distribution
NoSampler,LogisticRegression,2040.0,2040.0,3.5,3.5,0.6372549019607843,0.6372549019607843,0.037435544460461684,0.037435544460461684,0.4273535810067995,0.4273535810067995,0.0001253205813642235,0.0001253205813642235,0.8175455581265878,0.8175455581265878,0.9147633004197783,0.9147633004197783,0.4556755292570445,0.4556755292570445,ok,,0.4546825396825397,0.4071637312005511,0.596820788725456,0.7473181216931217,baseline,1029,nonlinear__medium_ir__medium_overlap__flip0.0__f20__corr0.7__distgaussian,nonlinear,medium_ir,medium_overlap,nonlinear,0.0,20,0.7,gaussian
NoSampler,RandomForest,2040.0,2040.0,3.5,3.5,0.6372549019607843,0.6372549019607843,0.037435544460461684,0.037435544460461684,0.4273535810067995,0.4273535810067995,0.0001253205813642235,0.0001253205813642235,0.8175455581265878,0.8175455581265878,0.9147633004197783,0.9147633004197783,0.4556755292570445,0.4556755292570445,ok,,0.7642063492063491,0.7874954361910729,0.8450313910005155,0.966300925925926,baseline,1029,nonlinear__medium_ir__medium_overlap__flip0.0__f20__corr0.7__distgaussian,nonlinear,medium_ir,medium_overlap,nonlinear,0.0,20,0.7,gaussian
distance_SMOTE,LogisticRegression,2040.0,2280.0,3.5,3.5,0.6372549019607843,0.5092105263157894,0.037435544460461684,0.03744498000094771,0.4273535810067995,0.43456734910573375,0.0001253205813642235,0.000141630484144221,0.8175455581265878,0.8175455581265878,0.9147633004197783,0.9147633004197783,0.4556755292570445,0.4556755292570445,ok,,0.4888095238095238,0.46685538087830614,0.6234274320548854,0.7444490740740741,smote_variants,1029,nonlinear__medium_ir__medium_overlap__flip0.0__f20__corr0.7__distgaussian,nonlinear,medium_ir,medium_overlap,nonlinear,0.0,20,0.7,gaussian
distance_SMOTE,RandomForest,2040.0,2280.0,3.5,3.5,0.6372549019607843,0.5092105263157894,0.037435544460461684,0.03744498000094771,0.4273535810067995,0.43456734910573375,0.0001253205813642235,0.000141630484144221,0.8175455581265878,0.8175455581265878,0.9147633004197783,0.9147633004197783,0.4556755292570445,0.4556755292570445,ok,,0.7768253968253968,0.8024333076302084,0.8538951626831104,0.9660287698412698,smote_variants,1029,nonlinear__medium_ir__medium_overlap__flip0.0__f20__corr0.7__distgaussian,nonlinear,medium_ir,medium_overlap,nonlinear,0.0,20,0.7,gaussian
cluster_SMOTE,LogisticRegression,2040.0,2280.0,3.5,3.5,0.6372549019607843,0.512719298245614,0.037435544460461684,0.03707927784982555,0.4273535810067995,0.4319781845047648,0.0001253205813642235,0.00010261744828049796,0.8175455581265878,0.8175455581265878,0.9147633004197783,0.9147633004197783,0.4556755292570445,0.4556755292570445,ok,,0.4911904761904762,0.4710546654475638,0.6252713243264426,0.74475,smote_variants,1029,nonlinear__medium_ir__medium_overlap__flip0.0__f20__corr0.7__distgaussian,nonlinear,medium_ir,medium_overlap,nonlinear,0.0,20,0.7,gaussian
cluster_SMOTE,RandomForest,2040.0,2280.0,3.5,3.5,0.6372549019607843,0.512719298245614,0.037435544460461684,0.03707927784982555,0.4273535810067995,0.4319781845047648,0.0001253205813642235,0.00010261744828049796,0.8175455581265878,0.8175455581265878,0.9147633004197783,0.9147633004197783,0.4556755292570445,0.4556755292570445,ok,,0.7588888888888888,0.7832244605833776,0.8413797378804035,0.9634292328042328,smote_variants,1029,nonlinear__medium_ir__medium_overlap__flip0.0__f20__corr0.7__distgaussian,nonlinear,medium_ir,medium_overlap,nonlinear,0.0,20,0.7,gaussian
CBSO,LogisticRegression,2040.0,2280.0,3.5,3.5,0.6372549019607843,0.55,0.037435544460461684,0.03728903215845048,0.4273535810067995,0.4352978533287847,0.0001253205813642235,7.079084362979126e-05,0.8175455581265878,0.8175455581265878,0.9147633004197783,0.9147633004197783,0.4556755292570445,0.4556755292570445,ok,,0.5011904761904762,0.48112471106718613,0.6341731028484393,0.7477294973544972,smote_variants,1029,nonlinear__medium_ir__medium_overlap__flip0.0__f20__corr0.7__distgaussian,nonlinear,medium_ir,medium_overlap,nonlinear,0.0,20,0.7,gaussian
CBSO,RandomForest,2040.0,2280.0,3.5,3.5,0.6372549019607843,0.55,0.037435544460461684,0.03728903215845048,0.4273535810067995,0.4352978533287847,0.0001253205813642235,7.079084362979126e-05,0.8175455581265878,0.8175455581265878,0.9147633004197783,0.9147633004197783,0.4556755292570445,0.4556755292570445,ok,,0.7676984126984127,0.790476997937048,0.847427355189224,0.96385582010582,smote_variants,1029,nonlinear__medium_ir__medium_overlap__flip0.0__f20__corr0.7__distgaussian,nonlinear,medium_ir,medium_overlap,nonlinear,0.0,20,0.7,gaussian
AHC,LogisticRegression,2040.0,2039.0,3.5,1.4273809523809524,0.6372549019607843,0.2697400686611084,0.037435544460461684,0.00038128730862232855,0.4273535810067995,0.00118007577197954,0.0001253205813642235,2.3135570890013496e-06,0.8175455581265878,0.8358426637332366,0.9147633004197783,0.9535020339458025,0.4556755292570445,0.5975320238443838,ok,,0.24857142857142855,0.1329191960706369,0.4316537964619331,,smote_variants,1029,nonlinear__medium_ir__medium_overlap__flip0.0__f20__corr0.7__distgaussian,nonlinear,medium_ir,medium_overlap,nonlinear,0.0,20,0.7,gaussian
AHC,RandomForest,2040.0,2039.0,3.5,1.4273809523809524,0.6372549019607843,0.2697400686611084,0.037435544460461684,0.00038128730862232855,0.4273535810067995,0.00118007577197954,0.0001253205813642235,2.3135570890013496e-06,0.8175455581265878,0.8358426637332366,0.9147633004197783,0.9535020339458025,0.4556755292570445,0.5975320238443838,ok,,0.475,0.40347490347490345,0.6416125518306719,,smote_variants,1029,nonlinear__medium_ir__medium_overlap__flip0.0__f20__corr0.7__distgaussian,nonlinear,medium_ir,medium_overlap,nonlinear,0.0,20,0.7,gaussian
