sampler,model,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f1_fisher_max_before,f1_fisher_max_after,f1_fisher_min_before,f1_fisher_min_after,f2_overlap_mean_before,f2_overlap_mean_after,f2_overlap_max_before,f2_overlap_max_after,f2_overlap_min_before,f2_overlap_min_after,status,error,balanced_accuracy,f1_macro,gmean_macro,auc_roc_ovr_macro,group,dataset_id,dataset_name,dataset_type,ir_level,overlap_level,cluster_level,flip_y,n_features,noise_correlation,noise_distribution
NoSampler,LogisticRegression,2280.0,2280.0,2.0857908847184987,2.0857908847184987,0.6907894736842105,0.6907894736842105,0.008083506204126324,0.008083506204126324,0.38375090229247344,0.38375090229247344,4.431971033492447e-05,4.431971033492447e-05,0.8701844048046651,0.8701844048046651,0.9529435494615447,0.9529435494615447,0.7143415325975302,0.7143415325975302,ok,,0.5049129344871568,0.5059754161746048,0.6415113820017931,0.747319349838977,baseline,713,nonlinear__low_ir__medium_overlap__flip0.05__f100__corr0.3__distgaussian,nonlinear,low_ir,medium_overlap,nonlinear,0.05,100,0.3,gaussian
NoSampler,RandomForest,2280.0,2280.0,2.0857908847184987,2.0857908847184987,0.6907894736842105,0.6907894736842105,0.008083506204126324,0.008083506204126324,0.38375090229247344,0.38375090229247344,4.431971033492447e-05,4.431971033492447e-05,0.8701844048046651,0.8701844048046651,0.9529435494615447,0.9529435494615447,0.7143415325975302,0.7143415325975302,ok,,0.6853634741267957,0.7001525456064158,0.7884319520628148,0.8955786099301637,baseline,713,nonlinear__low_ir__medium_overlap__flip0.05__f100__corr0.3__distgaussian,nonlinear,low_ir,medium_overlap,nonlinear,0.05,100,0.3,gaussian
distance_SMOTE,LogisticRegression,2280.0,2361.0,2.0857908847184987,2.0857908847184987,0.6907894736842105,0.6675137653536637,0.008083506204126324,0.008093227650276376,0.38375090229247344,0.38652546889542977,4.431971033492447e-05,4.404777326602719e-05,0.8701844048046651,0.8701844048046651,0.9529435494615447,0.9529435494615447,0.7143415325975302,0.7143415325975302,ok,,0.5026047378811143,0.5034386624169906,0.639703582716958,0.7469078480069101,smote_variants,713,nonlinear__low_ir__medium_overlap__flip0.05__f100__corr0.3__distgaussian,nonlinear,low_ir,medium_overlap,nonlinear,0.05,100,0.3,gaussian
distance_SMOTE,RandomForest,2280.0,2361.0,2.0857908847184987,2.0857908847184987,0.6907894736842105,0.6675137653536637,0.008083506204126324,0.008093227650276376,0.38375090229247344,0.38652546889542977,4.431971033492447e-05,4.404777326602719e-05,0.8701844048046651,0.8701844048046651,0.9529435494615447,0.9529435494615447,0.7143415325975302,0.7143415325975302,ok,,0.6930311767357287,0.706367934483581,0.7936558253015883,0.8941997898488376,smote_variants,713,nonlinear__low_ir__medium_overlap__flip0.05__f100__corr0.3__distgaussian,nonlinear,low_ir,medium_overlap,nonlinear,0.05,100,0.3,gaussian
cluster_SMOTE,LogisticRegression,2280.0,2361.0,2.0857908847184987,2.0857908847184987,0.6907894736842105,0.662007623888183,0.008083506204126324,0.008125688152539516,0.38375090229247344,0.3860384635569744,4.431971033492447e-05,5.47649959160479e-05,0.8701844048046651,0.8701844048046651,0.9529435494615447,0.9529435494615447,0.7143415325975302,0.7143415325975302,ok,,0.5049112886892081,0.5061569837083341,0.641915055371351,0.7464100036084133,smote_variants,713,nonlinear__low_ir__medium_overlap__flip0.05__f100__corr0.3__distgaussian,nonlinear,low_ir,medium_overlap,nonlinear,0.05,100,0.3,gaussian
cluster_SMOTE,RandomForest,2280.0,2361.0,2.0857908847184987,2.0857908847184987,0.6907894736842105,0.662007623888183,0.008083506204126324,0.008125688152539516,0.38375090229247344,0.3860384635569744,4.431971033492447e-05,5.47649959160479e-05,0.8701844048046651,0.8701844048046651,0.9529435494615447,0.9529435494615447,0.7143415325975302,0.7143415325975302,ok,,0.7005828856062574,0.7138792438271605,0.7990875667972854,0.9017866238309763,smote_variants,713,nonlinear__low_ir__medium_overlap__flip0.05__f100__corr0.3__distgaussian,nonlinear,low_ir,medium_overlap,nonlinear,0.05,100,0.3,gaussian
CBSO,LogisticRegression,2280.0,2361.0,2.0857908847184987,2.0857908847184987,0.6907894736842105,0.6539601863617112,0.008083506204126324,0.008062450785574441,0.38375090229247344,0.38380633191538716,4.431971033492447e-05,2.2937818337252475e-05,0.8701844048046651,0.8701844048046651,0.9529435494615447,0.9529435494615447,0.7143415325975302,0.7143415325975302,ok,,0.5061176936025662,0.508319207243167,0.6431825998828903,0.749037945026741,smote_variants,713,nonlinear__low_ir__medium_overlap__flip0.05__f100__corr0.3__distgaussian,nonlinear,low_ir,medium_overlap,nonlinear,0.05,100,0.3,gaussian
CBSO,RandomForest,2280.0,2361.0,2.0857908847184987,2.0857908847184987,0.6907894736842105,0.6539601863617112,0.008083506204126324,0.008062450785574441,0.38375090229247344,0.38380633191538716,4.431971033492447e-05,2.2937818337252475e-05,0.8701844048046651,0.8701844048046651,0.9529435494615447,0.9529435494615447,0.7143415325975302,0.7143415325975302,ok,,0.6935240582043798,0.7060878683088075,0.7938908904984721,0.8978062207370461,smote_variants,713,nonlinear__low_ir__medium_overlap__flip0.05__f100__corr0.3__distgaussian,nonlinear,low_ir,medium_overlap,nonlinear,0.05,100,0.3,gaussian
AHC,LogisticRegression,2280.0,2171.0,2.0857908847184987,1.7904884318766068,0.6907894736842105,0.3583602026715799,0.008083506204126324,0.0007361554410752585,0.38375090229247344,0.0060281250326780856,4.431971033492447e-05,8.58128443154416e-09,0.8701844048046651,0.88133838241657,0.9529435494615447,0.9781449869539567,0.7143415325975302,0.6976182136891123,ok,,0.2491260812892523,0.16954134617874808,0.43206549478131084,,smote_variants,713,nonlinear__low_ir__medium_overlap__flip0.05__f100__corr0.3__distgaussian,nonlinear,low_ir,medium_overlap,nonlinear,0.05,100,0.3,gaussian
AHC,RandomForest,2280.0,2171.0,2.0857908847184987,1.7904884318766068,0.6907894736842105,0.3583602026715799,0.008083506204126324,0.0007361554410752585,0.38375090229247344,0.0060281250326780856,4.431971033492447e-05,8.58128443154416e-09,0.8701844048046651,0.88133838241657,0.9529435494615447,0.9781449869539567,0.7143415325975302,0.6976182136891123,ok,,0.4685833629576964,0.3739967784858884,0.6319649539419806,,smote_variants,713,nonlinear__low_ir__medium_overlap__flip0.05__f100__corr0.3__distgaussian,nonlinear,low_ir,medium_overlap,nonlinear,0.05,100,0.3,gaussian
