sampler,model,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f1_fisher_max_before,f1_fisher_max_after,f1_fisher_min_before,f1_fisher_min_after,f2_overlap_mean_before,f2_overlap_mean_after,f2_overlap_max_before,f2_overlap_max_after,f2_overlap_min_before,f2_overlap_min_after,status,error,balanced_accuracy,f1_macro,gmean_macro,auc_roc_ovr_macro,group,dataset_id,dataset_name,dataset_type,ir_level,overlap_level,cluster_level,flip_y,n_features,noise_correlation,noise_distribution
NoSampler,LogisticRegression,2280.0,2280.0,2.0862533692722374,2.0862533692722374,0.7131578947368421,0.7131578947368421,0.009084712199656933,0.009084712199656933,0.43481113250314907,0.43481113250314907,0.00010743498092655101,0.00010743498092655101,0.6487035736533306,0.6487035736533306,0.9036100500520282,0.9036100500520282,0.3995939411522082,0.3995939411522082,ok,,0.4572804166889559,0.45498503536202983,0.6047653250365613,0.7091291534247879,baseline,566,nonlinear__low_ir__low_overlap__flip0.05__f100__corr0.0__distt,nonlinear,low_ir,low_overlap,nonlinear,0.05,100,0.0,t
NoSampler,RandomForest,2280.0,2280.0,2.0862533692722374,2.0862533692722374,0.7131578947368421,0.7131578947368421,0.009084712199656933,0.009084712199656933,0.43481113250314907,0.43481113250314907,0.00010743498092655101,0.00010743498092655101,0.6487035736533306,0.6487035736533306,0.9036100500520282,0.9036100500520282,0.3995939411522082,0.3995939411522082,ok,,0.6933646802594394,0.7047471732810311,0.7953368704255901,0.8963802756667381,baseline,566,nonlinear__low_ir__low_overlap__flip0.05__f100__corr0.0__distt,nonlinear,low_ir,low_overlap,nonlinear,0.05,100,0.0,t
distance_SMOTE,LogisticRegression,2280.0,2346.0,2.0862533692722374,2.0862533692722374,0.7131578947368421,0.6713554987212276,0.009084712199656933,0.009151025047949592,0.43481113250314907,0.43779731518853104,0.00010743498092655101,8.261984799439952e-05,0.6487035736533306,0.6487035736533306,0.9036100500520282,0.9036100500520282,0.3995939411522082,0.3995939411522082,ok,,0.4634252125419468,0.4595173170128818,0.6099096956233779,0.7073190904000509,smote_variants,566,nonlinear__low_ir__low_overlap__flip0.05__f100__corr0.0__distt,nonlinear,low_ir,low_overlap,nonlinear,0.05,100,0.0,t
distance_SMOTE,RandomForest,2280.0,2346.0,2.0862533692722374,2.0862533692722374,0.7131578947368421,0.6713554987212276,0.009084712199656933,0.009151025047949592,0.43481113250314907,0.43779731518853104,0.00010743498092655101,8.261984799439952e-05,0.6487035736533306,0.6487035736533306,0.9036100500520282,0.9036100500520282,0.3995939411522082,0.3995939411522082,ok,,0.70283874987783,0.7152601498186915,0.8024967759741235,0.896672392522771,smote_variants,566,nonlinear__low_ir__low_overlap__flip0.05__f100__corr0.0__distt,nonlinear,low_ir,low_overlap,nonlinear,0.05,100,0.0,t
cluster_SMOTE,LogisticRegression,2280.0,2346.0,2.0862533692722374,2.0862533692722374,0.7131578947368421,0.6726342710997443,0.009084712199656933,0.009161496237361533,0.43481113250314907,0.43772956084667447,0.00010743498092655101,6.365369643312553e-05,0.6487035736533306,0.6487035736533306,0.9036100500520282,0.9036100500520282,0.3995939411522082,0.3995939411522082,ok,,0.46956754018188807,0.4654411981671217,0.61498496344911,0.7104294528071203,smote_variants,566,nonlinear__low_ir__low_overlap__flip0.05__f100__corr0.0__distt,nonlinear,low_ir,low_overlap,nonlinear,0.05,100,0.0,t
cluster_SMOTE,RandomForest,2280.0,2346.0,2.0862533692722374,2.0862533692722374,0.7131578947368421,0.6726342710997443,0.009084712199656933,0.009161496237361533,0.43481113250314907,0.43772956084667447,0.00010743498092655101,6.365369643312553e-05,0.6487035736533306,0.6487035736533306,0.9036100500520282,0.9036100500520282,0.3995939411522082,0.3995939411522082,ok,,0.7014550306471412,0.7119786067886097,0.8014684840302937,0.8937900148794489,smote_variants,566,nonlinear__low_ir__low_overlap__flip0.05__f100__corr0.0__distt,nonlinear,low_ir,low_overlap,nonlinear,0.05,100,0.0,t
CBSO,LogisticRegression,2280.0,2346.0,2.0862533692722374,2.0862533692722374,0.7131578947368421,0.664535379369139,0.009084712199656933,0.009113942622193071,0.43481113250314907,0.43913411857407125,0.00010743498092655101,0.00011720000272732327,0.6487035736533306,0.6487035736533306,0.9036100500520282,0.9036100500520282,0.3995939411522082,0.3995939411522082,ok,,0.458763183492506,0.4554335761155628,0.6057433625187693,0.7079401647967963,smote_variants,566,nonlinear__low_ir__low_overlap__flip0.05__f100__corr0.0__distt,nonlinear,low_ir,low_overlap,nonlinear,0.05,100,0.0,t
CBSO,RandomForest,2280.0,2346.0,2.0862533692722374,2.0862533692722374,0.7131578947368421,0.664535379369139,0.009084712199656933,0.009113942622193071,0.43481113250314907,0.43913411857407125,0.00010743498092655101,0.00011720000272732327,0.6487035736533306,0.6487035736533306,0.9036100500520282,0.9036100500520282,0.3995939411522082,0.3995939411522082,ok,,0.7007970236594306,0.7112926421782348,0.8008718267588005,0.8973042970265976,smote_variants,566,nonlinear__low_ir__low_overlap__flip0.05__f100__corr0.0__distt,nonlinear,low_ir,low_overlap,nonlinear,0.05,100,0.0,t
AHC,LogisticRegression,2280.0,2189.0,2.0862533692722374,1.8281653746770026,0.7131578947368421,0.3435358611238008,0.009084712199656933,0.0007856267332326895,0.43481113250314907,0.0052212174229952415,0.00010743498092655101,6.602549870228473e-09,0.6487035736533306,0.6725610697040991,0.9036100500520282,0.9707148068849948,0.3995939411522082,0.2525999896037499,ok,,0.23731725784844776,0.16341096540375744,0.4200807690640946,,smote_variants,566,nonlinear__low_ir__low_overlap__flip0.05__f100__corr0.0__distt,nonlinear,low_ir,low_overlap,nonlinear,0.05,100,0.0,t
AHC,RandomForest,2280.0,2189.0,2.0862533692722374,1.8281653746770026,0.7131578947368421,0.3435358611238008,0.009084712199656933,0.0007856267332326895,0.43481113250314907,0.0052212174229952415,0.00010743498092655101,6.602549870228473e-09,0.6487035736533306,0.6725610697040991,0.9036100500520282,0.9707148068849948,0.3995939411522082,0.2525999896037499,ok,,0.4812161453782981,0.3848180209082361,0.643304166912759,,smote_variants,566,nonlinear__low_ir__low_overlap__flip0.05__f100__corr0.0__distt,nonlinear,low_ir,low_overlap,nonlinear,0.05,100,0.0,t
