sampler,model,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f1_fisher_max_before,f1_fisher_max_after,f1_fisher_min_before,f1_fisher_min_after,f2_overlap_mean_before,f2_overlap_mean_after,f2_overlap_max_before,f2_overlap_max_after,f2_overlap_min_before,f2_overlap_min_after,status,error,balanced_accuracy,f1_macro,gmean_macro,auc_roc_ovr_macro,group,dataset_id,dataset_name,dataset_type,ir_level,overlap_level,cluster_level,flip_y,n_features,noise_correlation,noise_distribution
NoSampler,LogisticRegression,2400,2400,4.45643153526971,4.45643153526971,0.155,0.155,0.05264983203106495,0.05264983203106495,0.1885688668257176,0.1885688668257176,0.00018781572538729147,0.00018781572538729147,0.8200462920740857,0.8200462920740857,0.916142629042415,0.916142629042415,0.6402308793000341,0.6402308793000341,ok,,0.494460582506375,0.5087374842765587,0.6471051704230404,0.8021288040644712,baseline,182,linear__medium_ir__low_overlap__high_clusters__flip0.01__f20,linear,medium_ir,low_overlap,high_clusters,0.01,20,,N/A
NoSampler,RandomForest,2400,2400,4.45643153526971,4.45643153526971,0.155,0.155,0.05264983203106495,0.05264983203106495,0.1885688668257176,0.1885688668257176,0.00018781572538729147,0.00018781572538729147,0.8200462920740857,0.8200462920740857,0.916142629042415,0.916142629042415,0.6402308793000341,0.6402308793000341,ok,,0.7770026216883263,0.8020927743922917,0.8561269507616711,0.9636596727412772,baseline,182,linear__medium_ir__low_overlap__high_clusters__flip0.01__f20,linear,medium_ir,low_overlap,high_clusters,0.01,20,,N/A
distance_SMOTE,LogisticRegression,2400,2872,4.45643153526971,4.45643153526971,0.155,0.10828690807799443,0.05264983203106495,0.058572461769964515,0.1885688668257176,0.2194592070550095,0.00018781572538729147,0.0004621123383519467,0.8200462920740857,0.8200462920740857,0.916142629042415,0.916142629042415,0.6402308793000341,0.6402308793000341,ok,,0.49522010404825545,0.4966060539269708,0.6482709204903458,0.8021987468077291,smote_variants,182,linear__medium_ir__low_overlap__high_clusters__flip0.01__f20,linear,medium_ir,low_overlap,high_clusters,0.01,20,,N/A
distance_SMOTE,RandomForest,2400,2872,4.45643153526971,4.45643153526971,0.155,0.10828690807799443,0.05264983203106495,0.058572461769964515,0.1885688668257176,0.2194592070550095,0.00018781572538729147,0.0004621123383519467,0.8200462920740857,0.8200462920740857,0.916142629042415,0.916142629042415,0.6402308793000341,0.6402308793000341,ok,,0.7584998003010845,0.7839290708860651,0.8432195135131889,0.9627171857910475,smote_variants,182,linear__medium_ir__low_overlap__high_clusters__flip0.01__f20,linear,medium_ir,low_overlap,high_clusters,0.01,20,,N/A
cluster_SMOTE,LogisticRegression,2400,2872,4.45643153526971,4.45643153526971,0.155,0.10654596100278552,0.05264983203106495,0.05707475063103362,0.1885688668257176,0.21374680774214982,0.00018781572538729147,0.00016745713020500482,0.8200462920740857,0.8200462920740857,0.916142629042415,0.916142629042415,0.6402308793000341,0.6402308793000341,ok,,0.493891286982703,0.49464197081263644,0.647242353732597,0.8022877022847074,smote_variants,182,linear__medium_ir__low_overlap__high_clusters__flip0.01__f20,linear,medium_ir,low_overlap,high_clusters,0.01,20,,N/A
cluster_SMOTE,RandomForest,2400,2872,4.45643153526971,4.45643153526971,0.155,0.10654596100278552,0.05264983203106495,0.05707475063103362,0.1885688668257176,0.21374680774214982,0.00018781572538729147,0.00016745713020500482,0.8200462920740857,0.8200462920740857,0.916142629042415,0.916142629042415,0.6402308793000341,0.6402308793000341,ok,,0.7538648140751891,0.777661101804406,0.8409815417647628,0.9625863980213345,smote_variants,182,linear__medium_ir__low_overlap__high_clusters__flip0.01__f20,linear,medium_ir,low_overlap,high_clusters,0.01,20,,N/A
CBSO,LogisticRegression,2400,2872,4.45643153526971,4.45643153526971,0.155,0.12430362116991643,0.05264983203106495,0.061206028549883565,0.1885688668257176,0.2613863171200905,0.00018781572538729147,0.0004215192616663321,0.8200462920740857,0.8200462920740857,0.916142629042415,0.916142629042415,0.6402308793000341,0.6402308793000341,ok,,0.4932308980306615,0.48767614585433733,0.647434705219322,0.8047199825250332,smote_variants,182,linear__medium_ir__low_overlap__high_clusters__flip0.01__f20,linear,medium_ir,low_overlap,high_clusters,0.01,20,,N/A
CBSO,RandomForest,2400,2872,4.45643153526971,4.45643153526971,0.155,0.12430362116991643,0.05264983203106495,0.061206028549883565,0.1885688668257176,0.2613863171200905,0.00018781572538729147,0.0004215192616663321,0.8200462920740857,0.8200462920740857,0.916142629042415,0.916142629042415,0.6402308793000341,0.6402308793000341,ok,,0.7502778119143445,0.7720230737868775,0.8382705546130076,0.9636694120437594,smote_variants,182,linear__medium_ir__low_overlap__high_clusters__flip0.01__f20,linear,medium_ir,low_overlap,high_clusters,0.01,20,,N/A
AHC,LogisticRegression,2400,2277,4.45643153526971,1.1201117318435754,0.155,0.028985507246376812,0.05264983203106495,0.037701220942280476,0.1885688668257176,0.2620226085741704,0.00018781572538729147,2.742018295977677e-06,0.8200462920740857,0.8619012227386638,0.916142629042415,0.9644667625756383,0.6402308793000341,0.744949220760076,ok,,0.39574349442379186,0.3241823303584783,0.569417834430048,,smote_variants,182,linear__medium_ir__low_overlap__high_clusters__flip0.01__f20,linear,medium_ir,low_overlap,high_clusters,0.01,20,,N/A
AHC,RandomForest,2400,2277,4.45643153526971,1.1201117318435754,0.155,0.028985507246376812,0.05264983203106495,0.037701220942280476,0.1885688668257176,0.2620226085741704,0.00018781572538729147,2.742018295977677e-06,0.8200462920740857,0.8619012227386638,0.916142629042415,0.9644667625756383,0.6402308793000341,0.744949220760076,ok,,0.4590086741016109,0.38085794223518776,0.6251220287826232,,smote_variants,182,linear__medium_ir__low_overlap__high_clusters__flip0.01__f20,linear,medium_ir,low_overlap,high_clusters,0.01,20,,N/A
