sampler,model,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f1_fisher_max_before,f1_fisher_max_after,f1_fisher_min_before,f1_fisher_min_after,f2_overlap_mean_before,f2_overlap_mean_after,f2_overlap_max_before,f2_overlap_max_after,f2_overlap_min_before,f2_overlap_min_after,status,error,balanced_accuracy,f1_macro,gmean_macro,auc_roc_ovr_macro,group,dataset_id,dataset_name,dataset_type,ir_level,overlap_level,cluster_level,flip_y,n_features,noise_correlation,noise_distribution
NoSampler,LogisticRegression,2400,2400,4.364754098360656,4.364754098360656,0.16333333333333333,0.16333333333333333,0.1542784287198893,0.1542784287198893,0.5112749131803458,0.5112749131803458,0.00023727177354550692,0.00023727177354550692,0.7949944135354089,0.7949944135354089,0.9245033604637499,0.9245033604637499,0.6640793342094526,0.6640793342094526,ok,,0.7719415355298153,0.7923062941158651,0.8562297588564795,0.9126435464137543,baseline,249,linear__medium_ir__high_overlap__low_clusters__flip0.03__f10,linear,medium_ir,high_overlap,low_clusters,0.03,10,,N/A
NoSampler,RandomForest,2400,2400,4.364754098360656,4.364754098360656,0.16333333333333333,0.16333333333333333,0.1542784287198893,0.1542784287198893,0.5112749131803458,0.5112749131803458,0.00023727177354550692,0.00023727177354550692,0.7949944135354089,0.7949944135354089,0.9245033604637499,0.9245033604637499,0.6640793342094526,0.6640793342094526,ok,,0.8506651705367734,0.8695130081621776,0.9058628945149404,0.9675264827988781,baseline,249,linear__medium_ir__high_overlap__low_clusters__flip0.03__f10,linear,medium_ir,high_overlap,low_clusters,0.03,10,,N/A
distance_SMOTE,LogisticRegression,2400,2860,4.364754098360656,4.364754098360656,0.16333333333333333,0.12762237762237763,0.1542784287198893,0.17984771731873933,0.5112749131803458,0.6286681988535812,0.00023727177354550692,0.0002106878055299085,0.7949944135354089,0.7949944135354089,0.9245033604637499,0.9245033604637499,0.6640793342094526,0.6640793342094526,ok,,0.7481182861092069,0.76432187887837,0.8412481346854715,0.9130103613832308,smote_variants,249,linear__medium_ir__high_overlap__low_clusters__flip0.03__f10,linear,medium_ir,high_overlap,low_clusters,0.03,10,,N/A
distance_SMOTE,RandomForest,2400,2860,4.364754098360656,4.364754098360656,0.16333333333333333,0.12762237762237763,0.1542784287198893,0.17984771731873933,0.5112749131803458,0.6286681988535812,0.00023727177354550692,0.0002106878055299085,0.7949944135354089,0.7949944135354089,0.9245033604637499,0.9245033604637499,0.6640793342094526,0.6640793342094526,ok,,0.8534505857903106,0.8724599146931049,0.9076704562748871,0.9687504332358539,smote_variants,249,linear__medium_ir__high_overlap__low_clusters__flip0.03__f10,linear,medium_ir,high_overlap,low_clusters,0.03,10,,N/A
cluster_SMOTE,LogisticRegression,2400,2860,4.364754098360656,4.364754098360656,0.16333333333333333,0.12482517482517483,0.1542784287198893,0.1742186712935334,0.5112749131803458,0.606118944620045,0.00023727177354550692,0.00039800610019067554,0.7949944135354089,0.7949944135354089,0.9245033604637499,0.9245033604637499,0.6640793342094526,0.6640793342094526,ok,,0.7559383916064969,0.7753939044063353,0.8461685775056484,0.9134325148882704,smote_variants,249,linear__medium_ir__high_overlap__low_clusters__flip0.03__f10,linear,medium_ir,high_overlap,low_clusters,0.03,10,,N/A
cluster_SMOTE,RandomForest,2400,2860,4.364754098360656,4.364754098360656,0.16333333333333333,0.12482517482517483,0.1542784287198893,0.1742186712935334,0.5112749131803458,0.606118944620045,0.00023727177354550692,0.00039800610019067554,0.7949944135354089,0.7949944135354089,0.9245033604637499,0.9245033604637499,0.6640793342094526,0.6640793342094526,ok,,0.8611111055103721,0.8829976586541575,0.912911673623922,0.970269135107777,smote_variants,249,linear__medium_ir__high_overlap__low_clusters__flip0.03__f10,linear,medium_ir,high_overlap,low_clusters,0.03,10,,N/A
CBSO,LogisticRegression,2400,2860,4.364754098360656,4.364754098360656,0.16333333333333333,0.12972027972027972,0.1542784287198893,0.10919324040229614,0.5112749131803458,0.3010668162581637,0.00023727177354550692,0.00038899230719012843,0.7949944135354089,0.7949944135354089,0.9245033604637499,0.9245033604637499,0.6640793342094526,0.6640793342094526,ok,,0.7190875457239152,0.7295040229032856,0.8220290249693528,0.8979133596819516,smote_variants,249,linear__medium_ir__high_overlap__low_clusters__flip0.03__f10,linear,medium_ir,high_overlap,low_clusters,0.03,10,,N/A
CBSO,RandomForest,2400,2860,4.364754098360656,4.364754098360656,0.16333333333333333,0.12972027972027972,0.1542784287198893,0.10919324040229614,0.5112749131803458,0.3010668162581637,0.00023727177354550692,0.00038899230719012843,0.7949944135354089,0.7949944135354089,0.9245033604637499,0.9245033604637499,0.6640793342094526,0.6640793342094526,ok,,0.8617965343122089,0.8794583435380589,0.9133103946625188,0.9702861484064629,smote_variants,249,linear__medium_ir__high_overlap__low_clusters__flip0.03__f10,linear,medium_ir,high_overlap,low_clusters,0.03,10,,N/A
AHC,LogisticRegression,2400,2274,4.364754098360656,1.1352112676056338,0.16333333333333333,0.013192612137203167,0.1542784287198893,0.18622295643173292,0.5112749131803458,0.6528071762027989,0.00023727177354550692,7.074673060231022e-11,0.7949944135354089,0.7376879118668497,0.9245033604637499,0.9192797996183979,0.6640793342094526,0.4744329723667846,ok,,0.49128779423072155,0.39883940796765993,0.6560792097524784,,smote_variants,249,linear__medium_ir__high_overlap__low_clusters__flip0.03__f10,linear,medium_ir,high_overlap,low_clusters,0.03,10,,N/A
AHC,RandomForest,2400,2274,4.364754098360656,1.1352112676056338,0.16333333333333333,0.013192612137203167,0.1542784287198893,0.18622295643173292,0.5112749131803458,0.6528071762027989,0.00023727177354550692,7.074673060231022e-11,0.7949944135354089,0.7376879118668497,0.9245033604637499,0.9192797996183979,0.6640793342094526,0.4744329723667846,ok,,0.4886958355036337,0.3975294536787921,0.6534952727793771,,smote_variants,249,linear__medium_ir__high_overlap__low_clusters__flip0.03__f10,linear,medium_ir,high_overlap,low_clusters,0.03,10,,N/A
