sampler,model,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f1_fisher_max_before,f1_fisher_max_after,f1_fisher_min_before,f1_fisher_min_after,f2_overlap_mean_before,f2_overlap_mean_after,f2_overlap_max_before,f2_overlap_max_after,f2_overlap_min_before,f2_overlap_min_after,status,error,balanced_accuracy,f1_macro,gmean_macro,auc_roc_ovr_macro,group,dataset_id,dataset_name,dataset_type,ir_level,overlap_level,cluster_level,flip_y,n_features,noise_correlation,noise_distribution
NoSampler,LogisticRegression,2400,2400,2.2231182795698925,2.2231182795698925,0.22791666666666666,0.22791666666666666,0.1403864079161002,0.1403864079161002,0.4467460569024353,0.4467460569024353,7.756948763044152e-05,7.756948763044152e-05,0.7715850934230319,0.7715850934230319,0.8762160794403967,0.8762160794403967,0.6631765090471787,0.6631765090471787,ok,,0.6609352233623459,0.6601228644952083,0.7667622563534554,0.8608097384318683,baseline,105,linear__low_ir__high_overlap__low_clusters__flip0.03__f10,linear,low_ir,high_overlap,low_clusters,0.03,10,,N/A
NoSampler,RandomForest,2400,2400,2.2231182795698925,2.2231182795698925,0.22791666666666666,0.22791666666666666,0.1403864079161002,0.1403864079161002,0.4467460569024353,0.4467460569024353,7.756948763044152e-05,7.756948763044152e-05,0.7715850934230319,0.7715850934230319,0.8762160794403967,0.8762160794403967,0.6631765090471787,0.6631765090471787,ok,,0.8723370364669548,0.8740348221262932,0.913195056955653,0.9670511989340076,baseline,105,linear__low_ir__high_overlap__low_clusters__flip0.03__f10,linear,low_ir,high_overlap,low_clusters,0.03,10,,N/A
distance_SMOTE,LogisticRegression,2400,2512,2.2231182795698925,2.2231182795698925,0.22791666666666666,0.2074044585987261,0.1403864079161002,0.13976629657593162,0.4467460569024353,0.4477708820054916,7.756948763044152e-05,5.43252634428231e-05,0.7715850934230319,0.7715850934230319,0.8762160794403967,0.8762160794403967,0.6631765090471787,0.6631765090471787,ok,,0.656267142263444,0.6589508911517685,0.7633786908702211,0.8604157330007112,smote_variants,105,linear__low_ir__high_overlap__low_clusters__flip0.03__f10,linear,low_ir,high_overlap,low_clusters,0.03,10,,N/A
distance_SMOTE,RandomForest,2400,2512,2.2231182795698925,2.2231182795698925,0.22791666666666666,0.2074044585987261,0.1403864079161002,0.13976629657593162,0.4467460569024353,0.4477708820054916,7.756948763044152e-05,5.43252634428231e-05,0.7715850934230319,0.7715850934230319,0.8762160794403967,0.8762160794403967,0.6631765090471787,0.6631765090471787,ok,,0.8712059371272618,0.8735013557215221,0.9129609097822917,0.9672599438603118,smote_variants,105,linear__low_ir__high_overlap__low_clusters__flip0.03__f10,linear,low_ir,high_overlap,low_clusters,0.03,10,,N/A
cluster_SMOTE,LogisticRegression,2400,2512,2.2231182795698925,2.2231182795698925,0.22791666666666666,0.20421974522292993,0.1403864079161002,0.1381098390122146,0.4467460569024353,0.45090439326311943,7.756948763044152e-05,0.000241249365526473,0.7715850934230319,0.7715850934230319,0.8762160794403967,0.8762160794403967,0.6631765090471787,0.6631765090471787,ok,,0.656267142263444,0.6593917026683457,0.7633172054036728,0.8610470852851589,smote_variants,105,linear__low_ir__high_overlap__low_clusters__flip0.03__f10,linear,low_ir,high_overlap,low_clusters,0.03,10,,N/A
cluster_SMOTE,RandomForest,2400,2512,2.2231182795698925,2.2231182795698925,0.22791666666666666,0.20421974522292993,0.1403864079161002,0.1381098390122146,0.4467460569024353,0.45090439326311943,7.756948763044152e-05,0.000241249365526473,0.7715850934230319,0.7715850934230319,0.8762160794403967,0.8762160794403967,0.6631765090471787,0.6631765090471787,ok,,0.8750252085099656,0.8763872452224375,0.9148708813576562,0.9689588100249276,smote_variants,105,linear__low_ir__high_overlap__low_clusters__flip0.03__f10,linear,low_ir,high_overlap,low_clusters,0.03,10,,N/A
CBSO,LogisticRegression,2400,2512,2.2231182795698925,2.2231182795698925,0.22791666666666666,0.21934713375796178,0.1403864079161002,0.1365824132985481,0.4467460569024353,0.424768721555716,7.756948763044152e-05,0.0001814270929036509,0.7715850934230319,0.7715850934230319,0.8762160794403967,0.8762160794403967,0.6631765090471787,0.6631765090471787,ok,,0.658766395730361,0.6612502758092758,0.7650923916439615,0.8607583912409018,smote_variants,105,linear__low_ir__high_overlap__low_clusters__flip0.03__f10,linear,low_ir,high_overlap,low_clusters,0.03,10,,N/A
CBSO,RandomForest,2400,2512,2.2231182795698925,2.2231182795698925,0.22791666666666666,0.21934713375796178,0.1403864079161002,0.1365824132985481,0.4467460569024353,0.424768721555716,7.756948763044152e-05,0.0001814270929036509,0.7715850934230319,0.7715850934230319,0.8762160794403967,0.8762160794403967,0.6631765090471787,0.6631765090471787,ok,,0.8730927107713297,0.8748379006491422,0.9136167958944028,0.9680036809039906,smote_variants,105,linear__low_ir__high_overlap__low_clusters__flip0.03__f10,linear,low_ir,high_overlap,low_clusters,0.03,10,,N/A
AHC,LogisticRegression,2400,2256,2.2231182795698925,1.7279322853688028,0.22791666666666666,0.06161347517730496,0.1403864079161002,0.0741466019260516,0.4467460569024353,0.5157311765783847,7.756948763044152e-05,6.33604567061109e-05,0.7715850934230319,0.792691720503617,0.8762160794403967,0.9153569965936247,0.6631765090471787,0.5738915437620737,ok,,0.4031117588319434,0.3144956876687076,0.5758424474215974,,smote_variants,105,linear__low_ir__high_overlap__low_clusters__flip0.03__f10,linear,low_ir,high_overlap,low_clusters,0.03,10,,N/A
AHC,RandomForest,2400,2256,2.2231182795698925,1.7279322853688028,0.22791666666666666,0.06161347517730496,0.1403864079161002,0.0741466019260516,0.4467460569024353,0.5157311765783847,7.756948763044152e-05,6.33604567061109e-05,0.7715850934230319,0.792691720503617,0.8762160794403967,0.9153569965936247,0.6631765090471787,0.5738915437620737,ok,,0.4524802310204302,0.35364648730985365,0.6187688442008451,,smote_variants,105,linear__low_ir__high_overlap__low_clusters__flip0.03__f10,linear,low_ir,high_overlap,low_clusters,0.03,10,,N/A
