sampler,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f2_overlap_mean_before,f2_overlap_mean_after,status,dataset_id,dataset_name,group,ir_level,overlap_level,cluster_level
NoSampler,2400.0,2400.0,4.406,4.406,0.334,0.334,0.02,0.02,0.799,0.799,ok,17,medium_ir__high_overlap__medium_clusters,baseline,medium_ir,high_overlap,medium_clusters
distance_SMOTE,2400.0,2876.0,4.406,4.406,0.334,0.242,0.02,0.022,0.799,0.799,ok,17,medium_ir__high_overlap__medium_clusters,smote_variants,medium_ir,high_overlap,medium_clusters
cluster_SMOTE,2400.0,2876.0,4.406,4.406,0.334,0.235,0.02,0.021,0.799,0.799,ok,17,medium_ir__high_overlap__medium_clusters,smote_variants,medium_ir,high_overlap,medium_clusters
CBSO,2400.0,2876.0,4.406,4.406,0.334,0.266,0.02,0.02,0.799,0.799,ok,17,medium_ir__high_overlap__medium_clusters,smote_variants,medium_ir,high_overlap,medium_clusters
AHC,2400.0,2272.0,4.406,1.113,0.334,0.088,0.02,0.019,0.799,0.8,ok,17,medium_ir__high_overlap__medium_clusters,smote_variants,medium_ir,high_overlap,medium_clusters
DBSMOTE,2400.0,2876.0,4.406,4.406,0.334,0.241,0.02,0.021,0.799,0.799,ok,17,medium_ir__high_overlap__medium_clusters,smote_variants,medium_ir,high_overlap,medium_clusters
MWMOTE,2400.0,2876.0,4.406,4.406,0.334,0.256,0.02,0.019,0.799,0.799,ok,17,medium_ir__high_overlap__medium_clusters,smote_variants,medium_ir,high_overlap,medium_clusters
SMOTE,2400.0,4300.0,4.406,1.0,0.334,0.097,0.02,0.025,0.799,0.799,ok,17,medium_ir__high_overlap__medium_clusters,imbalanced_learn,medium_ir,high_overlap,medium_clusters
BorderlineSMOTE,2400.0,4300.0,4.406,1.0,0.334,0.1,0.02,0.024,0.799,0.799,ok,17,medium_ir__high_overlap__medium_clusters,imbalanced_learn,medium_ir,high_overlap,medium_clusters
SVMSMOTE,2400.0,4300.0,4.406,1.0,0.334,0.101,0.02,0.026,0.799,0.814,ok,17,medium_ir__high_overlap__medium_clusters,imbalanced_learn,medium_ir,high_overlap,medium_clusters
ADASYN,2400.0,4394.0,4.406,1.117,0.334,0.079,0.02,0.019,0.799,0.799,ok,17,medium_ir__high_overlap__medium_clusters,imbalanced_learn,medium_ir,high_overlap,medium_clusters
KMeansSMOTE,,,,,,,,,,,error,17,medium_ir__high_overlap__medium_clusters,imbalanced_learn,medium_ir,high_overlap,medium_clusters
NoSampler,2400.0,2400.0,4.406,4.406,0.372,0.372,0.025,0.025,0.833,0.833,ok,18,medium_ir__high_overlap__high_clusters,baseline,medium_ir,high_overlap,high_clusters
distance_SMOTE,2400.0,2877.0,4.406,4.406,0.372,0.263,0.025,0.028,0.833,0.833,ok,18,medium_ir__high_overlap__high_clusters,smote_variants,medium_ir,high_overlap,high_clusters
cluster_SMOTE,2400.0,2877.0,4.406,4.406,0.372,0.26,0.025,0.028,0.833,0.833,ok,18,medium_ir__high_overlap__high_clusters,smote_variants,medium_ir,high_overlap,high_clusters
CBSO,2400.0,2877.0,4.406,4.406,0.372,0.3,0.025,0.025,0.833,0.833,ok,18,medium_ir__high_overlap__high_clusters,smote_variants,medium_ir,high_overlap,high_clusters
AHC,2400.0,2270.0,4.406,1.112,0.372,0.096,0.025,0.02,0.833,0.842,ok,18,medium_ir__high_overlap__high_clusters,smote_variants,medium_ir,high_overlap,high_clusters
DBSMOTE,2400.0,2877.0,4.406,4.406,0.372,0.262,0.025,0.026,0.833,0.833,ok,18,medium_ir__high_overlap__high_clusters,smote_variants,medium_ir,high_overlap,high_clusters
MWMOTE,2400.0,2877.0,4.406,4.406,0.372,0.277,0.025,0.026,0.833,0.833,ok,18,medium_ir__high_overlap__high_clusters,smote_variants,medium_ir,high_overlap,high_clusters
SMOTE,2400.0,4300.0,4.406,1.0,0.372,0.106,0.025,0.03,0.833,0.833,ok,18,medium_ir__high_overlap__high_clusters,imbalanced_learn,medium_ir,high_overlap,high_clusters
BorderlineSMOTE,2400.0,4300.0,4.406,1.0,0.372,0.115,0.025,0.028,0.833,0.833,ok,18,medium_ir__high_overlap__high_clusters,imbalanced_learn,medium_ir,high_overlap,high_clusters
SVMSMOTE,2400.0,4300.0,4.406,1.0,0.372,0.122,0.025,0.046,0.833,0.819,ok,18,medium_ir__high_overlap__high_clusters,imbalanced_learn,medium_ir,high_overlap,high_clusters
ADASYN,2400.0,4417.0,4.406,1.143,0.372,0.085,0.025,0.025,0.833,0.833,ok,18,medium_ir__high_overlap__high_clusters,imbalanced_learn,medium_ir,high_overlap,high_clusters
KMeansSMOTE,2400.0,4310.0,4.406,1.007,0.372,0.166,0.025,0.124,0.833,0.833,ok,18,medium_ir__high_overlap__high_clusters,imbalanced_learn,medium_ir,high_overlap,high_clusters
NoSampler,2400.0,2400.0,10.421,10.421,0.043,0.043,0.189,0.189,0.741,0.741,ok,19,high_ir__low_overlap__low_clusters,baseline,high_ir,low_overlap,low_clusters
distance_SMOTE,2400.0,3111.0,10.421,10.421,0.043,0.027,0.189,0.19,0.741,0.741,ok,19,high_ir__low_overlap__low_clusters,smote_variants,high_ir,low_overlap,low_clusters
cluster_SMOTE,2400.0,3111.0,10.421,10.421,0.043,0.028,0.189,0.185,0.741,0.741,ok,19,high_ir__low_overlap__low_clusters,smote_variants,high_ir,low_overlap,low_clusters
CBSO,2400.0,3111.0,10.421,10.421,0.043,0.034,0.189,0.173,0.741,0.741,ok,19,high_ir__low_overlap__low_clusters,smote_variants,high_ir,low_overlap,low_clusters
AHC,2400.0,2516.0,10.421,1.091,0.043,0.019,0.189,0.116,0.741,0.773,ok,19,high_ir__low_overlap__low_clusters,smote_variants,high_ir,low_overlap,low_clusters
DBSMOTE,2400.0,3111.0,10.421,10.421,0.043,0.023,0.189,0.18,0.741,0.741,ok,19,high_ir__low_overlap__low_clusters,smote_variants,high_ir,low_overlap,low_clusters
MWMOTE,2400.0,3111.0,10.421,10.421,0.043,0.033,0.189,0.18,0.741,0.741,ok,19,high_ir__low_overlap__low_clusters,smote_variants,high_ir,low_overlap,low_clusters
SMOTE,2400.0,5252.0,10.421,1.0,0.043,0.014,0.189,0.316,0.741,0.741,ok,19,high_ir__low_overlap__low_clusters,imbalanced_learn,high_ir,low_overlap,low_clusters
BorderlineSMOTE,2400.0,5252.0,10.421,1.0,0.043,0.019,0.189,0.406,0.741,0.741,ok,19,high_ir__low_overlap__low_clusters,imbalanced_learn,high_ir,low_overlap,low_clusters
SVMSMOTE,2400.0,5252.0,10.421,1.0,0.043,0.017,0.189,0.24,0.741,0.759,ok,19,high_ir__low_overlap__low_clusters,imbalanced_learn,high_ir,low_overlap,low_clusters
ADASYN,2400.0,5267.0,10.421,1.024,0.043,0.016,0.189,0.22,0.741,0.741,ok,19,high_ir__low_overlap__low_clusters,imbalanced_learn,high_ir,low_overlap,low_clusters
KMeansSMOTE,2400.0,5255.0,10.421,1.002,0.043,0.017,0.189,0.458,0.741,0.741,ok,19,high_ir__low_overlap__low_clusters,imbalanced_learn,high_ir,low_overlap,low_clusters
NoSampler,2400.0,2400.0,10.581,10.581,0.075,0.075,0.114,0.114,0.767,0.767,ok,20,high_ir__low_overlap__medium_clusters,baseline,high_ir,low_overlap,medium_clusters
distance_SMOTE,2400.0,3110.0,10.581,10.581,0.075,0.05,0.114,0.123,0.767,0.767,ok,20,high_ir__low_overlap__medium_clusters,smote_variants,high_ir,low_overlap,medium_clusters
cluster_SMOTE,2400.0,3110.0,10.581,10.581,0.075,0.051,0.114,0.124,0.767,0.767,ok,20,high_ir__low_overlap__medium_clusters,smote_variants,high_ir,low_overlap,medium_clusters
CBSO,2400.0,3110.0,10.581,10.581,0.075,0.069,0.114,0.1,0.767,0.767,ok,20,high_ir__low_overlap__medium_clusters,smote_variants,high_ir,low_overlap,medium_clusters
AHC,2400.0,2515.0,10.581,1.091,0.075,0.011,0.114,0.118,0.767,0.808,ok,20,high_ir__low_overlap__medium_clusters,smote_variants,high_ir,low_overlap,medium_clusters
DBSMOTE,2400.0,3110.0,10.581,10.581,0.075,0.049,0.114,0.119,0.767,0.767,ok,20,high_ir__low_overlap__medium_clusters,smote_variants,high_ir,low_overlap,medium_clusters
MWMOTE,2400.0,3110.0,10.581,10.581,0.075,0.056,0.114,0.116,0.767,0.767,ok,20,high_ir__low_overlap__medium_clusters,smote_variants,high_ir,low_overlap,medium_clusters
SMOTE,2400.0,5248.0,10.581,1.0,0.075,0.018,0.114,0.122,0.767,0.767,ok,20,high_ir__low_overlap__medium_clusters,imbalanced_learn,high_ir,low_overlap,medium_clusters
BorderlineSMOTE,2400.0,5248.0,10.581,1.0,0.075,0.021,0.114,0.097,0.767,0.767,ok,20,high_ir__low_overlap__medium_clusters,imbalanced_learn,high_ir,low_overlap,medium_clusters
SVMSMOTE,2400.0,5248.0,10.581,1.0,0.075,0.017,0.114,0.103,0.767,0.767,ok,20,high_ir__low_overlap__medium_clusters,imbalanced_learn,high_ir,low_overlap,medium_clusters
ADASYN,2400.0,5269.0,10.581,1.029,0.075,0.018,0.114,0.092,0.767,0.767,ok,20,high_ir__low_overlap__medium_clusters,imbalanced_learn,high_ir,low_overlap,medium_clusters
KMeansSMOTE,,,,,,,,,,,error,20,high_ir__low_overlap__medium_clusters,imbalanced_learn,high_ir,low_overlap,medium_clusters
NoSampler,2400.0,2400.0,10.851,10.851,0.11,0.11,0.088,0.088,0.818,0.818,ok,21,high_ir__low_overlap__high_clusters,baseline,high_ir,low_overlap,high_clusters
distance_SMOTE,2400.0,3112.0,10.851,10.851,0.11,0.068,0.088,0.092,0.818,0.818,ok,21,high_ir__low_overlap__high_clusters,smote_variants,high_ir,low_overlap,high_clusters
cluster_SMOTE,2400.0,3112.0,10.851,10.851,0.11,0.064,0.088,0.087,0.818,0.818,ok,21,high_ir__low_overlap__high_clusters,smote_variants,high_ir,low_overlap,high_clusters
CBSO,2400.0,3112.0,10.851,10.851,0.11,0.094,0.088,0.067,0.818,0.818,ok,21,high_ir__low_overlap__high_clusters,smote_variants,high_ir,low_overlap,high_clusters
AHC,2400.0,2514.0,10.851,1.093,0.11,0.022,0.088,0.082,0.818,0.842,ok,21,high_ir__low_overlap__high_clusters,smote_variants,high_ir,low_overlap,high_clusters
DBSMOTE,2400.0,3112.0,10.851,10.851,0.11,0.063,0.088,0.087,0.818,0.818,ok,21,high_ir__low_overlap__high_clusters,smote_variants,high_ir,low_overlap,high_clusters
MWMOTE,2400.0,3112.0,10.851,10.851,0.11,0.076,0.088,0.077,0.818,0.818,ok,21,high_ir__low_overlap__high_clusters,smote_variants,high_ir,low_overlap,high_clusters
SMOTE,2400.0,5252.0,10.851,1.0,0.11,0.02,0.088,0.098,0.818,0.818,ok,21,high_ir__low_overlap__high_clusters,imbalanced_learn,high_ir,low_overlap,high_clusters
BorderlineSMOTE,2400.0,5252.0,10.851,1.0,0.11,0.026,0.088,0.068,0.818,0.818,ok,21,high_ir__low_overlap__high_clusters,imbalanced_learn,high_ir,low_overlap,high_clusters
SVMSMOTE,2400.0,5252.0,10.851,1.0,0.11,0.021,0.088,0.099,0.818,0.798,ok,21,high_ir__low_overlap__high_clusters,imbalanced_learn,high_ir,low_overlap,high_clusters
ADASYN,2400.0,5237.0,10.851,1.04,0.11,0.021,0.088,0.064,0.818,0.818,ok,21,high_ir__low_overlap__high_clusters,imbalanced_learn,high_ir,low_overlap,high_clusters
KMeansSMOTE,,,,,,,,,,,error,21,high_ir__low_overlap__high_clusters,imbalanced_learn,high_ir,low_overlap,high_clusters
NoSampler,2400.0,2400.0,10.811,10.811,0.107,0.107,0.145,0.145,0.755,0.755,ok,22,high_ir__medium_overlap__low_clusters,baseline,high_ir,medium_overlap,low_clusters
distance_SMOTE,2400.0,3119.0,10.811,10.811,0.107,0.066,0.145,0.16,0.755,0.755,ok,22,high_ir__medium_overlap__low_clusters,smote_variants,high_ir,medium_overlap,low_clusters
cluster_SMOTE,2400.0,3119.0,10.811,10.811,0.107,0.065,0.145,0.158,0.755,0.755,ok,22,high_ir__medium_overlap__low_clusters,smote_variants,high_ir,medium_overlap,low_clusters
CBSO,2400.0,3119.0,10.811,10.811,0.107,0.081,0.145,0.148,0.755,0.755,ok,22,high_ir__medium_overlap__low_clusters,smote_variants,high_ir,medium_overlap,low_clusters
AHC,2400.0,2518.0,10.811,1.1,0.107,0.025,0.145,0.102,0.755,0.817,ok,22,high_ir__medium_overlap__low_clusters,smote_variants,high_ir,medium_overlap,low_clusters
DBSMOTE,2400.0,3119.0,10.811,10.811,0.107,0.066,0.145,0.153,0.755,0.755,ok,22,high_ir__medium_overlap__low_clusters,smote_variants,high_ir,medium_overlap,low_clusters
MWMOTE,2400.0,3119.0,10.811,10.811,0.107,0.075,0.145,0.157,0.755,0.755,ok,22,high_ir__medium_overlap__low_clusters,smote_variants,high_ir,medium_overlap,low_clusters
SMOTE,2400.0,5276.0,10.811,1.0,0.107,0.018,0.145,0.214,0.755,0.755,ok,22,high_ir__medium_overlap__low_clusters,imbalanced_learn,high_ir,medium_overlap,low_clusters
BorderlineSMOTE,2400.0,5276.0,10.811,1.0,0.107,0.027,0.145,0.15,0.755,0.755,ok,22,high_ir__medium_overlap__low_clusters,imbalanced_learn,high_ir,medium_overlap,low_clusters
SVMSMOTE,2400.0,5276.0,10.811,1.0,0.107,0.023,0.145,0.15,0.755,0.751,ok,22,high_ir__medium_overlap__low_clusters,imbalanced_learn,high_ir,medium_overlap,low_clusters
ADASYN,2400.0,5334.0,10.811,1.041,0.107,0.019,0.145,0.152,0.755,0.755,ok,22,high_ir__medium_overlap__low_clusters,imbalanced_learn,high_ir,medium_overlap,low_clusters
KMeansSMOTE,,,,,,,,,,,error,22,high_ir__medium_overlap__low_clusters,imbalanced_learn,high_ir,medium_overlap,low_clusters
NoSampler,2400.0,2400.0,10.597,10.597,0.204,0.204,0.042,0.042,0.793,0.793,ok,23,high_ir__medium_overlap__medium_clusters,baseline,high_ir,medium_overlap,medium_clusters
distance_SMOTE,2400.0,3117.0,10.597,10.597,0.204,0.121,0.042,0.051,0.793,0.793,ok,23,high_ir__medium_overlap__medium_clusters,smote_variants,high_ir,medium_overlap,medium_clusters
cluster_SMOTE,2400.0,3117.0,10.597,10.597,0.204,0.12,0.042,0.053,0.793,0.793,ok,23,high_ir__medium_overlap__medium_clusters,smote_variants,high_ir,medium_overlap,medium_clusters
CBSO,2400.0,3117.0,10.597,10.597,0.204,0.158,0.042,0.044,0.793,0.793,ok,23,high_ir__medium_overlap__medium_clusters,smote_variants,high_ir,medium_overlap,medium_clusters
AHC,2400.0,2507.0,10.597,1.101,0.204,0.022,0.042,0.056,0.793,0.8,ok,23,high_ir__medium_overlap__medium_clusters,smote_variants,high_ir,medium_overlap,medium_clusters
DBSMOTE,2400.0,3117.0,10.597,10.597,0.204,0.12,0.042,0.047,0.793,0.793,ok,23,high_ir__medium_overlap__medium_clusters,smote_variants,high_ir,medium_overlap,medium_clusters
MWMOTE,2400.0,3117.0,10.597,10.597,0.204,0.139,0.042,0.047,0.793,0.793,ok,23,high_ir__medium_overlap__medium_clusters,smote_variants,high_ir,medium_overlap,medium_clusters
SMOTE,2400.0,5256.0,10.597,1.0,0.204,0.046,0.042,0.047,0.793,0.793,ok,23,high_ir__medium_overlap__medium_clusters,imbalanced_learn,high_ir,medium_overlap,medium_clusters
BorderlineSMOTE,2400.0,5256.0,10.597,1.0,0.204,0.049,0.042,0.044,0.793,0.793,ok,23,high_ir__medium_overlap__medium_clusters,imbalanced_learn,high_ir,medium_overlap,medium_clusters
SVMSMOTE,2400.0,5256.0,10.597,1.0,0.204,0.044,0.042,0.051,0.793,0.797,ok,23,high_ir__medium_overlap__medium_clusters,imbalanced_learn,high_ir,medium_overlap,medium_clusters
ADASYN,2400.0,5299.0,10.597,1.067,0.204,0.04,0.042,0.041,0.793,0.793,ok,23,high_ir__medium_overlap__medium_clusters,imbalanced_learn,high_ir,medium_overlap,medium_clusters
KMeansSMOTE,,,,,,,,,,,error,23,high_ir__medium_overlap__medium_clusters,imbalanced_learn,high_ir,medium_overlap,medium_clusters
NoSampler,2400.0,2400.0,10.77,10.77,0.221,0.221,0.04,0.04,0.802,0.802,ok,24,high_ir__medium_overlap__high_clusters,baseline,high_ir,medium_overlap,high_clusters
distance_SMOTE,2400.0,3116.0,10.77,10.77,0.221,0.149,0.04,0.042,0.802,0.802,ok,24,high_ir__medium_overlap__high_clusters,smote_variants,high_ir,medium_overlap,high_clusters
cluster_SMOTE,2400.0,3116.0,10.77,10.77,0.221,0.142,0.04,0.04,0.802,0.802,ok,24,high_ir__medium_overlap__high_clusters,smote_variants,high_ir,medium_overlap,high_clusters
CBSO,2400.0,3116.0,10.77,10.77,0.221,0.18,0.04,0.038,0.802,0.802,ok,24,high_ir__medium_overlap__high_clusters,smote_variants,high_ir,medium_overlap,high_clusters
AHC,2400.0,2509.0,10.77,1.1,0.221,0.05,0.04,0.036,0.802,0.826,ok,24,high_ir__medium_overlap__high_clusters,smote_variants,high_ir,medium_overlap,high_clusters
DBSMOTE,2400.0,3116.0,10.77,10.77,0.221,0.142,0.04,0.041,0.802,0.802,ok,24,high_ir__medium_overlap__high_clusters,smote_variants,high_ir,medium_overlap,high_clusters
MWMOTE,2400.0,3116.0,10.77,10.77,0.221,0.156,0.04,0.04,0.802,0.802,ok,24,high_ir__medium_overlap__high_clusters,smote_variants,high_ir,medium_overlap,high_clusters
SMOTE,2400.0,5256.0,10.77,1.0,0.221,0.059,0.04,0.063,0.802,0.802,ok,24,high_ir__medium_overlap__high_clusters,imbalanced_learn,high_ir,medium_overlap,high_clusters
BorderlineSMOTE,2400.0,5256.0,10.77,1.0,0.221,0.065,0.04,0.059,0.802,0.802,ok,24,high_ir__medium_overlap__high_clusters,imbalanced_learn,high_ir,medium_overlap,high_clusters
SVMSMOTE,2400.0,5256.0,10.77,1.0,0.221,0.06,0.04,0.092,0.802,0.801,ok,24,high_ir__medium_overlap__high_clusters,imbalanced_learn,high_ir,medium_overlap,high_clusters
ADASYN,2400.0,5332.0,10.77,1.109,0.221,0.056,0.04,0.044,0.802,0.802,ok,24,high_ir__medium_overlap__high_clusters,imbalanced_learn,high_ir,medium_overlap,high_clusters
KMeansSMOTE,,,,,,,,,,,error,24,high_ir__medium_overlap__high_clusters,imbalanced_learn,high_ir,medium_overlap,high_clusters
NoSampler,2400.0,2400.0,10.683,10.683,0.172,0.172,0.048,0.048,0.796,0.796,ok,25,high_ir__high_overlap__low_clusters,baseline,high_ir,high_overlap,low_clusters
distance_SMOTE,2400.0,3113.0,10.683,10.683,0.172,0.104,0.048,0.051,0.796,0.796,ok,25,high_ir__high_overlap__low_clusters,smote_variants,high_ir,high_overlap,low_clusters
cluster_SMOTE,2400.0,3113.0,10.683,10.683,0.172,0.105,0.048,0.051,0.796,0.796,ok,25,high_ir__high_overlap__low_clusters,smote_variants,high_ir,high_overlap,low_clusters
CBSO,2400.0,3113.0,10.683,10.683,0.172,0.142,0.048,0.043,0.796,0.796,ok,25,high_ir__high_overlap__low_clusters,smote_variants,high_ir,high_overlap,low_clusters
AHC,2400.0,2515.0,10.683,1.094,0.172,0.049,0.048,0.034,0.796,0.816,ok,25,high_ir__high_overlap__low_clusters,smote_variants,high_ir,high_overlap,low_clusters
DBSMOTE,2400.0,3113.0,10.683,10.683,0.172,0.099,0.048,0.046,0.796,0.796,ok,25,high_ir__high_overlap__low_clusters,smote_variants,high_ir,high_overlap,low_clusters
MWMOTE,2400.0,3113.0,10.683,10.683,0.172,0.118,0.048,0.045,0.796,0.796,ok,25,high_ir__high_overlap__low_clusters,smote_variants,high_ir,high_overlap,low_clusters
SMOTE,2400.0,5256.0,10.683,1.0,0.172,0.039,0.048,0.067,0.796,0.796,ok,25,high_ir__high_overlap__low_clusters,imbalanced_learn,high_ir,high_overlap,low_clusters
BorderlineSMOTE,2400.0,5256.0,10.683,1.0,0.172,0.044,0.048,0.047,0.796,0.796,ok,25,high_ir__high_overlap__low_clusters,imbalanced_learn,high_ir,high_overlap,low_clusters
SVMSMOTE,2400.0,5256.0,10.683,1.0,0.172,0.04,0.048,0.093,0.796,0.795,ok,25,high_ir__high_overlap__low_clusters,imbalanced_learn,high_ir,high_overlap,low_clusters
ADASYN,2400.0,5166.0,10.683,1.048,0.172,0.041,0.048,0.042,0.796,0.796,ok,25,high_ir__high_overlap__low_clusters,imbalanced_learn,high_ir,high_overlap,low_clusters
KMeansSMOTE,,,,,,,,,,,error,25,high_ir__high_overlap__low_clusters,imbalanced_learn,high_ir,high_overlap,low_clusters
NoSampler,2400.0,2400.0,10.421,10.421,0.251,0.251,0.031,0.031,0.809,0.809,ok,26,high_ir__high_overlap__medium_clusters,baseline,high_ir,high_overlap,medium_clusters
distance_SMOTE,2400.0,3115.0,10.421,10.421,0.251,0.154,0.031,0.034,0.809,0.809,ok,26,high_ir__high_overlap__medium_clusters,smote_variants,high_ir,high_overlap,medium_clusters
cluster_SMOTE,2400.0,3115.0,10.421,10.421,0.251,0.147,0.031,0.032,0.809,0.809,ok,26,high_ir__high_overlap__medium_clusters,smote_variants,high_ir,high_overlap,medium_clusters
CBSO,2400.0,3115.0,10.421,10.421,0.251,0.207,0.031,0.03,0.809,0.809,ok,26,high_ir__high_overlap__medium_clusters,smote_variants,high_ir,high_overlap,medium_clusters
AHC,2400.0,2508.0,10.421,1.099,0.251,0.059,0.031,0.028,0.809,0.833,ok,26,high_ir__high_overlap__medium_clusters,smote_variants,high_ir,high_overlap,medium_clusters
DBSMOTE,2400.0,3115.0,10.421,10.421,0.251,0.148,0.031,0.032,0.809,0.809,ok,26,high_ir__high_overlap__medium_clusters,smote_variants,high_ir,high_overlap,medium_clusters
MWMOTE,2400.0,3115.0,10.421,10.421,0.251,0.174,0.031,0.031,0.809,0.809,ok,26,high_ir__high_overlap__medium_clusters,smote_variants,high_ir,high_overlap,medium_clusters
SMOTE,2400.0,5252.0,10.421,1.0,0.251,0.054,0.031,0.036,0.809,0.809,ok,26,high_ir__high_overlap__medium_clusters,imbalanced_learn,high_ir,high_overlap,medium_clusters
BorderlineSMOTE,2400.0,5252.0,10.421,1.0,0.251,0.059,0.031,0.028,0.809,0.809,ok,26,high_ir__high_overlap__medium_clusters,imbalanced_learn,high_ir,high_overlap,medium_clusters
SVMSMOTE,2400.0,5252.0,10.421,1.0,0.251,0.056,0.031,0.104,0.809,0.788,ok,26,high_ir__high_overlap__medium_clusters,imbalanced_learn,high_ir,high_overlap,medium_clusters
ADASYN,2400.0,5332.0,10.421,1.037,0.251,0.05,0.031,0.027,0.809,0.809,ok,26,high_ir__high_overlap__medium_clusters,imbalanced_learn,high_ir,high_overlap,medium_clusters
KMeansSMOTE,,,,,,,,,,,error,26,high_ir__high_overlap__medium_clusters,imbalanced_learn,high_ir,high_overlap,medium_clusters
NoSampler,2400.0,2400.0,10.258,10.258,0.334,0.334,0.01,0.01,0.818,0.818,ok,27,high_ir__high_overlap__high_clusters,baseline,high_ir,high_overlap,high_clusters
distance_SMOTE,2400.0,3114.0,10.258,10.258,0.334,0.214,0.01,0.01,0.818,0.818,ok,27,high_ir__high_overlap__high_clusters,smote_variants,high_ir,high_overlap,high_clusters
cluster_SMOTE,2400.0,3114.0,10.258,10.258,0.334,0.207,0.01,0.01,0.818,0.818,ok,27,high_ir__high_overlap__high_clusters,smote_variants,high_ir,high_overlap,high_clusters
CBSO,2400.0,3114.0,10.258,10.258,0.334,0.274,0.01,0.01,0.818,0.818,ok,27,high_ir__high_overlap__high_clusters,smote_variants,high_ir,high_overlap,high_clusters
AHC,2400.0,2510.0,10.258,1.097,0.334,0.106,0.01,0.005,0.818,0.876,ok,27,high_ir__high_overlap__high_clusters,smote_variants,high_ir,high_overlap,high_clusters
DBSMOTE,2400.0,3114.0,10.258,10.258,0.334,0.202,0.01,0.009,0.818,0.818,ok,27,high_ir__high_overlap__high_clusters,smote_variants,high_ir,high_overlap,high_clusters
MWMOTE,2400.0,3114.0,10.258,10.258,0.334,0.228,0.01,0.01,0.818,0.818,ok,27,high_ir__high_overlap__high_clusters,smote_variants,high_ir,high_overlap,high_clusters
SMOTE,2400.0,5252.0,10.258,1.0,0.334,0.087,0.01,0.016,0.818,0.818,ok,27,high_ir__high_overlap__high_clusters,imbalanced_learn,high_ir,high_overlap,high_clusters
BorderlineSMOTE,2400.0,5252.0,10.258,1.0,0.334,0.09,0.01,0.02,0.818,0.818,ok,27,high_ir__high_overlap__high_clusters,imbalanced_learn,high_ir,high_overlap,high_clusters
SVMSMOTE,2400.0,4728.0,10.258,1.664,0.334,0.102,0.01,0.021,0.818,0.786,ok,27,high_ir__high_overlap__high_clusters,imbalanced_learn,high_ir,high_overlap,high_clusters
ADASYN,2400.0,5443.0,10.258,1.107,0.334,0.079,0.01,0.012,0.818,0.818,ok,27,high_ir__high_overlap__high_clusters,imbalanced_learn,high_ir,high_overlap,high_clusters
KMeansSMOTE,,,,,,,,,,,error,27,high_ir__high_overlap__high_clusters,imbalanced_learn,high_ir,high_overlap,high_clusters
